word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
cepen,1710-1720,1780-1789,0.91046,0.08954,125,1167,,0.006611,0.993389,,
continu,1720-1730,1760-1770,0.910017,0.089983,68,224,,0.018829,0.981171,,
leux,1710-1720,1770-1780,0.909989,0.090011,76,228,,0.014442,0.985558,,
passi,1700-1710,1770-1780,0.909004,0.090996,57,217,,0.010238,0.989762,,
quint,1710-1720,1750-1760,0.908527,0.091473,265,626,,0.028778,0.971222,,
barreau,1700-1710,1760-1770,0.908272,0.091728,98,724,,0.055181,0.944819,,
gene,1720-1730,1789-1802,0.90824,0.09176,286,161,,0.012171,0.987829,,
indi,1710-1720,1780-1789,0.908155,0.091845,66,680,,0.008689,0.991311,,
rennes,1740-1750,1770-1780,0.907377,0.092623,309,570,,,,,
couple,1730-1740,1750-1760,0.907008,0.092992,96,802,,0.031847,0.968153,,
naire,1700-1710,1760-1770,0.906878,0.093122,133,455,,0.011676,0.988324,,
répons,1720-1730,1770-1780,0.906632,0.093368,81,101,,,,,
maria,1720-1730,1760-1770,0.906503,0.093497,465,892,,,,,
fignification,1720-1730,1740-1750,0.906116,0.093884,227,419,,0.020534,0.979466,,
ouvra,1730-1740,1780-1789,0.906088,0.093912,138,220,,,,,
pers,1730-1740,1770-1780,0.905368,0.094632,74,140,,0.008096,0.991904,,
labourage,1700-1710,1720-1730,0.904628,0.095372,64,99,,0.035018,0.964982,,
l'ef,1720-1730,1789-1802,0.903973,0.096027,271,635,,,,,
profite,1730-1740,1740-1750,0.903742,0.096258,222,211,,,,,
contrefaits,1780-1789,1789-1802,0.903606,0.096394,85,56,,,,,
repent,1720-1730,1770-1780,0.903407,0.096593,200,154,,,,,
toui,1730-1740,1740-1750,0.903352,0.096648,53,103,,0.008777,0.991223,,
imp,1750-1760,1770-1780,0.902588,0.097412,962,492,,0.015238,0.984762,,
penses,1750-1760,1789-1802,0.902344,0.097656,239,552,,0.014585,0.985415,,
test,1710-1720,1730-1740,0.902236,0.097764,55,198,,,,,
dru,1730-1740,1740-1750,0.902213,0.097787,131,53,,0.028107,0.971893,,
cid,1720-1730,1770-1780,0.902085,0.097915,65,248,,0.014551,0.985449,,
eft,1740-1750,1789-1802,0.901316,0.098684,2533,473,,0.048257,0.951743,,
l'intention,1720-1730,1730-1740,0.901152,0.098848,303,541,,,,,
élement,1710-1720,1789-1802,0.900904,0.099096,183,562,,0.01815,0.98185,,
fare,1710-1720,1730-1740,0.900829,0.099171,93,145,,0.021796,0.978204,,
onc,1700-1710,1760-1770,0.9003,0.0997,288,1005,,0.027195,0.972805,,
tendante,1780-1789,1789-1802,0.900061,0.099939,205,240,,,,,
l'ob,1710-1720,1760-1770,0.899976,0.100024,57,221,,,,,
traîner,1700-1710,1710-1720,0.899443,0.100557,60,65,,0.018656,0.981344,,
rement,1720-1730,1789-1802,0.899409,0.100591,161,508,,0.02463,0.97537,,
semblera,1730-1740,1789-1802,0.898612,0.101388,254,167,,,,,
chanoines,1700-1710,1720-1730,0.898456,0.101544,299,1562,,,,,
ombrage,1720-1730,1730-1740,0.898091,0.101909,93,133,,0.012874,0.987126,,
rés,1710-1720,1730-1740,0.897599,0.102401,136,149,,,,,
parlai,1760-1770,1770-1780,0.89751,0.10249,177,231,,0.013036,0.986964,,
gué,1700-1710,1760-1770,0.896945,0.103055,61,241,,0.016469,0.983531,,
troc,1740-1750,1789-1802,0.896311,0.103689,86,62,,,,,
plaider,1720-1730,1750-1760,0.896158,0.103842,183,224,,,,,
liez,1720-1730,1789-1802,0.896102,0.103898,161,140,,,,,
natu,1780-1789,1789-1802,0.895461,0.104539,656,499,,0.008497,0.991503,,
para,1710-1720,1789-1802,0.895392,0.104608,158,385,,0.011352,0.988648,,
avee,1700-1710,1730-1740,0.895312,0.104688,75,77,,0.015706,0.984294,,
mats,1740-1750,1750-1760,0.894738,0.105262,138,135,,,,,
conde,1730-1740,1740-1750,0.89453,0.10547,319,413,,0.018279,0.981721,,
sem,1720-1730,1789-1802,0.894135,0.105865,64,506,,0.019497,0.980503,,
tutelle,1760-1770,1789-1802,0.89399,0.10601,341,449,,,,,
suiffe,1700-1710,1789-1802,0.893816,0.106184,84,1248,,0.019636,0.980364,,
poux,1720-1730,1730-1740,0.893543,0.106457,79,97,,0.02004,0.97996,,
viaire,1740-1750,1789-1802,0.893032,0.106968,383,646,,0.020541,0.979459,,
mêmc,1710-1720,1740-1750,0.892748,0.107252,82,107,,,,,
scu,1710-1720,1740-1750,0.892616,0.107384,138,97,,,,,
arg,1710-1720,1730-1740,0.89238,0.10762,119,154,,0.052307,0.947693,,
reposée,1700-1710,1789-1802,0.892177,0.107823,174,77,,,,,
mail,1710-1720,1789-1802,0.892085,0.107915,132,277,,0.018092,0.981908,,
acres,1730-1740,1789-1802,0.891992,0.108008,73,722,,0.073316,0.926684,,
laissés,1700-1710,1720-1730,0.89197,0.10803,64,224,,0.091247,0.908753,,
d'ac,1720-1730,1770-1780,0.890991,0.109009,73,365,,,,,
fiscal,1730-1740,1789-1802,0.890935,0.109065,82,385,,0.034945,0.965055,,
claudius,1700-1710,1789-1802,0.89047,0.10953,116,121,,,,,
ruement,1700-1710,1789-1802,0.890381,0.109619,51,432,,0.015413,0.984587,,
auf,1720-1730,1770-1780,0.890148,0.109852,123,201,,0.019209,0.980791,,
lavé,1720-1730,1750-1760,0.890031,0.109969,151,144,,0.039265,0.960735,,
