word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree
personnelles,1730-1740,1760-1770,0.574956,0.425044,136,320,
n'entend,1740-1750,1750-1760,0.574952,0.425048,215,258,
commencée,1700-1710,1720-1730,0.574389,0.425611,75,113,
difference,1760-1770,1789-1802,0.574268,0.425732,88,94,
l'éloge,1700-1710,1740-1750,0.573439,0.426561,94,245,
paiement,1710-1720,1730-1740,0.573384,0.426616,177,96,
mené,1700-1710,1720-1730,0.573111,0.426889,177,226,
pallas,1700-1710,1789-1802,0.572997,0.427003,58,184,
menton,1700-1710,1760-1770,0.572743,0.427257,50,315,
j'eus,1710-1720,1750-1760,0.572733,0.427267,475,801,
saurai,1730-1740,1740-1750,0.57232,0.42768,72,71,
l'orage,1710-1720,1770-1780,0.572228,0.427772,160,594,
envoyées,1740-1750,1789-1802,0.572168,0.427832,335,528,
approchent,1710-1720,1780-1789,0.572084,0.427916,64,374,
procuré,1700-1710,1789-1802,0.571851,0.428149,67,888,
demeurent,1720-1730,1780-1789,0.571449,0.428551,509,603,
clodius,1710-1720,1770-1780,0.570752,0.429248,59,366,
reines,1710-1720,1789-1802,0.570471,0.429529,108,321,
confreres,1710-1720,1720-1730,0.570385,0.429615,147,287,
conseillé,1710-1720,1770-1780,0.570358,0.429642,86,308,
gagna,1730-1740,1780-1789,0.569891,0.430109,330,667,
l'océan,1710-1720,1720-1730,0.569579,0.430421,79,83,
porterent,1710-1720,1740-1750,0.569562,0.430438,138,273,
cuisse,1700-1710,1750-1760,0.569519,0.430481,52,90,
nihil,1700-1710,1770-1780,0.56908,0.43092,1514,1715,
s'étonner,1710-1720,1760-1770,0.569003,0.430997,202,330,
cria,1720-1730,1730-1740,0.568814,0.431186,94,147,
chantant,1710-1720,1740-1750,0.568258,0.431742,86,133,
mettons,1740-1750,1760-1770,0.567865,0.432135,184,307,
prioit,1710-1720,1720-1730,0.567804,0.432196,80,172,
facon,1710-1720,1789-1802,0.567556,0.432444,167,384,
travailloient,1710-1720,1740-1750,0.567437,0.432563,50,116,
procura,1730-1740,1789-1802,0.567367,0.432633,160,304,
curieuse,1720-1730,1730-1740,0.567358,0.432642,99,115,
