word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
diront,1740-1750,1750-1760,0.560674,0.439326,245,236,,0.013296,0.986704,,
pendre,1700-1710,1740-1750,0.560079,0.439921,140,364,,,,,
savois,1710-1720,1720-1730,0.559785,0.440215,98,136,,0.030965,0.969035,,
fideles,1710-1720,1730-1740,0.55974,0.44026,348,457,,,,,
rentré,1720-1730,1760-1770,0.559431,0.440569,72,204,,0.02143,0.97857,,
mercredi,1770-1780,1780-1789,0.558852,0.441148,1509,1349,,0.014141,0.985859,,
l'estomac,1710-1720,1750-1760,0.558357,0.441643,141,311,,,,,
volé,1710-1720,1789-1802,0.55829,0.44171,187,558,,,,,
reglemens,1770-1780,1789-1802,0.558236,0.441764,260,109,,,,,
alléguer,1740-1750,1750-1760,0.557594,0.442406,180,226,,0.018224,0.981776,,
cautions,1730-1740,1780-1789,0.557588,0.442412,281,301,,,,,
retournant,1700-1710,1770-1780,0.557532,0.442468,88,316,,0.02077,0.97923,,
espéces,1710-1720,1789-1802,0.557527,0.442473,50,102,,,,,
oncles,1720-1730,1789-1802,0.55737,0.44263,104,169,,,,,
souhaite,1700-1710,1789-1802,0.557294,0.442706,518,523,,,,,
remplissent,1710-1720,1789-1802,0.556772,0.443228,127,573,,0.018543,0.981457,,
semblait,1700-1710,1740-1750,0.556761,0.443239,76,93,,0.022202,0.977798,,
entroit,1700-1710,1750-1760,0.556752,0.443248,77,255,,0.021188,0.978812,,
poura,1750-1760,1789-1802,0.556491,0.443509,62,102,,,,,
reçurent,1700-1710,1710-1720,0.556159,0.443841,56,54,,0.017708,0.982292,,
embrassé,1700-1710,1710-1720,0.556124,0.443876,58,71,,0.009436,0.990564,,
répandit,1750-1760,1780-1789,0.556052,0.443948,271,621,,0.02027,0.97973,,
meres,1730-1740,1760-1770,0.555955,0.444045,285,717,,,,,
piquent,1710-1720,1789-1802,0.555792,0.444208,69,88,,,,,
prenons,1760-1770,1789-1802,0.555295,0.444705,508,552,,,,,
prononça,1700-1710,1710-1720,0.555173,0.444827,97,83,,0.008704,0.991296,,
offensé,1710-1720,1720-1730,0.555074,0.444926,134,83,,0.031733,0.968267,,
exquis,1770-1780,1789-1802,0.554972,0.445028,546,293,,,,,
conseillé,1720-1730,1780-1789,0.554949,0.445051,92,582,,0.014446,0.985554,,
connut,1770-1780,1789-1802,0.553444,0.446556,591,469,,,,,
marqua,1710-1720,1789-1802,0.553191,0.446809,56,156,,,,,
confreres,1720-1730,1750-1760,0.552911,0.447089,287,179,,0.043943,0.956057,,
demeurent,1710-1720,1789-1802,0.552854,0.447146,507,573,,,,,
tireur,1780-1789,1789-1802,0.552646,0.447354,181,102,,,,,
plût,1750-1760,1780-1789,0.551844,0.448156,367,576,,,,,
désire,1710-1720,1750-1760,0.551663,0.448337,86,388,,0.013751,0.986249,,
economic,1780-1789,1789-1802,0.551645,0.448355,784,2046,,0.075519,0.924481,,
statuts,1710-1720,1760-1770,0.551518,0.448482,1245,1305,,,,,
avoic,1710-1720,1770-1780,0.551202,0.448798,74,334,,,,,
successions,1720-1730,1789-1802,0.550755,0.449245,64,452,,,,,
pâques,1770-1780,1789-1802,0.550743,0.449257,344,247,,,,,
féjour,1710-1720,1740-1750,0.550692,0.449308,84,438,,0.02243,0.97757,,
l'océan,1700-1710,1770-1780,0.550635,0.449365,52,1341,,,,,
rubis,1710-1720,1770-1780,0.550589,0.449411,65,533,,,,,
difference,1760-1770,1789-1802,0.550114,0.449886,88,94,,,,,
accroire,1750-1760,1760-1770,0.550106,0.449894,168,170,,,,,
croye,1710-1720,1740-1750,0.550031,0.449969,82,138,,,,,
craignons,1700-1710,1780-1789,0.549893,0.450107,71,355,,0.037962,0.962038,,
vendue,1730-1740,1740-1750,0.54947,0.45053,130,183,,,,,
chargent,1730-1740,1750-1760,0.549318,0.450682,107,279,,0.019361,0.980639,,
sassent,1730-1740,1789-1802,0.549109,0.450891,124,270,,0.031226,0.968774,,
m'est,1780-1789,1789-1802,0.54899,0.45101,2373,2123,,,,,
passait,1730-1740,1750-1760,0.548665,0.451335,86,124,,,,,
permettant,1700-1710,1710-1720,0.548526,0.451474,58,98,,0.017977,0.982023,,
entendons,1710-1720,1780-1789,0.548441,0.451559,141,273,,,,,
priant,1710-1720,1730-1740,0.54839,0.45161,154,260,,0.025217,0.974783,,
recommandé,1720-1730,1789-1802,0.547722,0.452278,103,457,,0.01496,0.98504,,
tâché,1740-1750,1770-1780,0.547493,0.452507,226,615,,,,,
difons,1710-1720,1760-1770,0.547431,0.452569,118,156,,,,,
procura,1700-1710,1740-1750,0.547367,0.452633,61,197,,0.014244,0.985756,,
étonnée,1700-1710,1710-1720,0.54679,0.45321,71,58,,,,,
personnelles,1720-1730,1770-1780,0.546744,0.453256,80,563,,0.017426,0.982574,,
clodius,1710-1720,1760-1770,0.546667,0.453333,59,58,,,,,
porterent,1710-1720,1780-1789,0.546293,0.453707,138,434,,0.024375,0.975625,,
prophetes,1740-1750,1760-1770,0.54626,0.45374,93,69,,,,,
tâcha,1720-1730,1730-1740,0.54575,0.45425,63,154,,,,,
contenterai,1700-1710,1750-1760,0.545133,0.454867,80,208,,,,,
feras,1700-1710,1730-1740,0.54494,0.45506,159,261,,,,,
d'impatience,1710-1720,1720-1730,0.54458,0.45542,87,51,,,,,
travailloient,1710-1720,1760-1770,0.544327,0.455673,50,150,,,,,
curieuse,1730-1740,1750-1760,0.544205,0.455795,115,182,,,,,
l'humidité,1710-1720,1730-1740,0.543459,0.456541,75,240,,,,,
prendroit,1700-1710,1710-1720,0.542763,0.457237,112,170,,0.016012,0.983988,,
pontifes,1700-1710,1720-1730,0.542359,0.457641,63,99,,0.070389,0.929611,,
viendroit,1710-1720,1720-1730,0.542285,0.457715,154,228,,,,,
archers,1750-1760,1789-1802,0.541833,0.458167,180,226,,0.019803,0.980197,,
enchanté,1700-1710,1710-1720,0.541607,0.458393,115,77,,0.025458,0.974542,,
mettons,1720-1730,1780-1789,0.541344,0.458656,119,439,,,,,
satisfaite,1720-1730,1770-1780,0.541243,0.458757,61,402,,0.012165,0.987835,,
prédicateurs,1720-1730,1789-1802,0.540971,0.459029,86,150,,0.020303,0.979697,,
commençait,1740-1750,1780-1789,0.540272,0.459728,56,183,,,,,
joignit,1710-1720,1780-1789,0.540129,0.459871,154,735,,0.02855,0.97145,,
marcellus,1770-1780,1789-1802,0.540074,0.459926,897,101,,,,,
accourut,1710-1720,1720-1730,0.538576,0.461424,79,60,,,,,
porc,1700-1710,1750-1760,0.538446,0.461554,141,342,,0.017118,0.982882,,
devra,1700-1710,1740-1750,0.538406,0.461594,81,165,,0.017509,0.982491,,
l'orage,1710-1720,1770-1780,0.538365,0.461635,160,594,,,,,
plaisoit,1700-1710,1760-1770,0.537667,0.462333,157,313,,,,,
blanchir,1720-1730,1789-1802,0.537203,0.462797,86,160,,,,,
recevoit,1700-1710,1720-1730,0.537169,0.462831,129,171,,0.018098,0.981902,,
epouse,1710-1720,1760-1770,0.536925,0.463075,167,109,,,,,
mené,1770-1780,1780-1789,0.536011,0.463989,376,770,,,,,
c'clt,1730-1740,1740-1750,0.535824,0.464176,131,154,,,,,
sasse,1710-1720,1750-1760,0.535749,0.464251,227,701,,0.020244,0.979756,,
porteront,1700-1710,1740-1750,0.535316,0.464684,90,117,,0.018592,0.981408,,
