period,genre_brut,macro_genre,filename,title,author,n_words,output_path
1730-1740,Belles-Lettres,Belles-Lettres,modern_ecco_0043900900.tei,,Jacques Joseph Duguet (1649-1733),406008,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Belles-Lettres/modern_ecco_0043900900.txt
1730-1740,Belles-Lettres,Belles-Lettres,modern_ecco_0072700600.tei,,author_10479,27594,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Belles-Lettres/modern_ecco_0072700600.txt
1730-1740,Traductions grecques et latines,Traductions grecques et latines,modern_ecco_0091004300.tei,,Alciphron,40658,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Traductions grecques et latines/modern_ecco_0091004300.txt
1730-1740,Histoire,Histoire,modern_ecco_0092201000.tei,,"Pöllnitz, Karl Ludwig von (1692-1775)",28642,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Histoire/modern_ecco_0092201000.txt
1730-1740,Romans,Romans,modern_ecco_0098900301.tei,,"Martorell, Joanot (1413-1468)",68385,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Romans/modern_ecco_0098900301.txt
1730-1740,,GENRE_VIDE,modern_ecco_0098900302.tei,,"Martorell, Joanot (1413-1468)",103390,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/GENRE_VIDE/modern_ecco_0098900302.txt
1730-1740,Théâtre,Théâtre,modern_ecco_0100200900.tei,,Guillaume-Hyacinthe Bougeant (1690-1743),22634,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Théâtre/modern_ecco_0100200900.txt
1730-1740,Histoire,Histoire,modern_ecco_0101400300.tei,,author_05320,38024,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Histoire/modern_ecco_0101400300.txt
1730-1740,Correspondances,Belles-Lettres,modern_ecco_0108400400.tei,,author_10478,7727,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Belles-Lettres/modern_ecco_0108400400.txt
1730-1740,Théologie,Théologie,modern_ecco_0140001400.tei,,César de Missy (1703-1775),16303,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Théologie/modern_ecco_0140001400.txt
