word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
privilèges,1700-1710,1789-1802,244,1667,5680,0.0886,0.5577,0.7921
diminuer,1720-1730,1789-1802,551,2574,5704,0.0885,0.6391,0.3616
richesses,1700-1710,1789-1802,547,4881,5708,0.0883,0.7231,0.5457
tromper,1700-1710,1789-1802,647,2515,5711,0.0882,0.2897,0.2761
jouit,1700-1710,1789-1802,169,2131,5703,0.088,0.5796,0.5034
braves,1720-1730,1789-1802,470,1556,5688,0.0879,0.8761,0.7142
france,1720-1730,1789-1802,13169,61634,5721,0.0879,0.9075,0.9479
revenus,1710-1720,1789-1802,1035,7255,5697,0.0878,0.6942,0.6138
menaces,1700-1710,1789-1802,217,1471,5689,0.0875,0.2347,0.13
corps,1720-1730,1789-1802,12582,35953,5721,0.0873,0.7419,0.8872
juges,1710-1720,1780-1789,2742,7409,5709,0.0871,0.6038,0.6756
admis,1700-1710,1760-1770,190,1209,5701,0.0865,0.2245,0.1789
sûr,1700-1710,1789-1802,449,3705,5707,0.0864,0.6657,0.4991
empereur,1710-1720,1750-1760,486,1718,5707,0.0863,0.8924,0.8161
opposer,1700-1710,1789-1802,242,1780,5702,0.0861,0.6945,0.7615
dignité,1740-1750,1789-1802,1673,3768,5711,0.0861,0.4909,0.1743
accompagné,1710-1720,1770-1780,468,1199,5706,0.086,0.465,0.4219
ouvriers,1700-1710,1750-1760,915,1792,5696,0.0859,0.3344,0.2266
daignez,1700-1710,1789-1802,73,746,5678,0.0857,0.7201,0.7273
seigneurs,1720-1730,1760-1770,2584,3756,5702,0.0856,0.7621,0.7825
ambassadeur,1730-1740,1789-1802,403,637,5682,0.0855,0.7114,0.1389
payement,1720-1730,1789-1802,1278,2219,5678,0.0853,0.942,0.6147
fortune,1710-1720,1789-1802,2200,11022,5714,0.0852,0.696,0.7319
sagesse,1730-1740,1789-1802,1764,5115,5709,0.0849,0.6944,0.2798
remords,1700-1710,1780-1789,124,1790,5689,0.0847,0.8771,0.3184
contraires,1710-1720,1789-1802,1014,2113,5703,0.0847,0.9864,0.9093
agit,1710-1720,1789-1802,383,1326,5714,0.0845,0.9203,0.793
