word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
reculer,1710-1720,1789-1802,113,593,5674,0.7004,0.2306,0.1314
anciens,1710-1720,1720-1730,4967,4858,5718,0.7,0.2524,0.4929
mortel,1750-1760,1789-1802,842,1465,5709,0.6988,0.0495,0.0205
curiosité,1730-1740,1760-1770,834,1096,5709,0.6986,0.6437,0.0875
observer,1710-1720,1730-1740,1340,1202,5713,0.6982,0.2763,0.5135
dresser,1710-1720,1750-1760,360,498,5690,0.6977,0.3331,0.2403
arrêta,1710-1720,1789-1802,76,476,5682,0.6976,0.517,0.0674
campagne,1710-1720,1780-1789,2160,6845,5711,0.6973,0.409,0.5617
domestique,1780-1789,1789-1802,1625,2137,5695,0.6964,0.0137,0.0719
front,1720-1730,1770-1780,1146,3305,5713,0.6963,0.7921,0.7599
employé,1770-1780,1789-1802,3435,4119,5710,0.6935,0.0912,0.1295
loisir,1730-1740,1740-1750,534,509,5693,0.6935,0.165,0.1699
noirs,1750-1760,1789-1802,956,2608,5695,0.6931,0.5539,0.5174
attendant,1750-1760,1770-1780,1095,2013,5706,0.693,0.095,0.3079
palais,1710-1720,1789-1802,2485,5939,5716,0.6929,0.5333,0.6878
voleur,1720-1730,1760-1770,185,397,5678,0.6924,0.0128,0.0418
fâcheux,1730-1740,1760-1770,473,724,5702,0.6917,0.8282,0.0553
pressé,1770-1780,1780-1789,818,990,5686,0.6907,0.0046,0.0197
dira,1710-1720,1750-1760,725,1586,5709,0.6903,0.0688,0.1092
enrichir,1760-1770,1789-1802,410,519,5696,0.6901,0.3834,0.0631
exercé,1700-1710,1789-1802,88,975,5698,0.6893,0.4014,0.5386
prévu,1710-1720,1789-1802,168,1159,5691,0.6888,0.8286,0.8911
aides,1710-1720,1770-1780,110,3091,5677,0.6876,0.9188,0.9555
providence,1730-1740,1789-1802,985,2132,5700,0.687,0.8694,0.5244
constant,1750-1760,1770-1780,471,916,5693,0.6858,0.1115,0.1674
philippe,1710-1720,1720-1730,1083,3941,5701,0.6798,0.9637,0.7697
obstacle,1760-1770,1770-1780,1208,1641,5699,0.6783,0.2659,0.1185
restent,1700-1710,1710-1720,137,184,5709,0.6781,0.4169,0.3956
fécond,1710-1720,1789-1802,193,958,5695,0.6769,0.1092,0.5544
fept,1710-1720,1760-1770,343,1023,5649,0.676,0.2122,0.9276
ajoute,1760-1770,1770-1780,3130,4784,5715,0.6753,0.0547,0.0183
rupture,1750-1760,1760-1770,364,427,5683,0.674,0.124,0.0471
extraordinaire,1750-1760,1789-1802,1327,3419,5715,0.6739,0.4446,0.4289
mourant,1700-1710,1720-1730,249,232,5702,0.6735,0.7122,0.2567
prétendu,1700-1710,1740-1750,297,988,5708,0.673,0.0486,0.1784
proche,1710-1720,1789-1802,1970,1361,5705,0.6729,0.7696,0.9545
naufrage,1720-1730,1740-1750,173,602,5692,0.6718,0.2877,0.3036
commission,1740-1750,1789-1802,1152,5050,5690,0.6716,0.9393,0.9057
etats,1700-1710,1789-1802,1973,14262,5703,0.6708,0.8996,0.7238
tribunal,1710-1720,1789-1802,518,6806,5700,0.6702,0.9049,0.706
esclavage,1760-1770,1770-1780,355,591,5683,0.6694,0.341,0.1085
agrément,1750-1760,1789-1802,325,388,5703,0.6683,0.3378,0.1964
travers,1740-1750,1780-1789,1929,5518,5714,0.6682,0.6231,0.6195
renfermé,1730-1740,1750-1760,330,489,5699,0.6666,0.5117,0.1322
reviens,1730-1740,1770-1780,338,676,5672,0.6657,0.3018,0.5014
faim,1740-1750,1770-1780,848,1834,5705,0.6653,0.3934,0.2986
dessein,1750-1760,1789-1802,4693,3366,5714,0.6652,0.2135,0.4185
fleurs,1700-1710,1720-1730,1490,1504,5715,0.664,0.651,0.7346
singulier,1700-1710,1730-1740,241,740,5708,0.6636,0.0565,0.0836
parer,1730-1740,1780-1789,397,1231,5694,0.6636,0.6114,0.0816
confier,1700-1710,1750-1760,167,521,5688,0.6628,0.5844,0.2647
