word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
s'étant,1710-1720,1750-1760,743,1838,,0.1587,,
l'ait,1700-1710,1789-1802,226,667,,0.158,,
n'aura,1700-1710,1740-1750,327,602,,0.1573,,
avés,1700-1710,1770-1780,174,70,,0.1563,,
souhaits,1740-1750,1750-1760,149,246,,0.1551,,
l'avaient,1720-1730,1740-1750,76,53,,0.1544,,
s'étoient,1710-1720,1730-1740,428,2484,,0.1537,,
m'ait,1700-1710,1760-1770,99,227,,0.153,,
priai,1700-1710,1770-1780,85,216,,0.1528,0.8206,
magnifiques,1720-1730,1730-1740,354,617,,0.1508,,
voulaient,1730-1740,1740-1750,71,50,,0.1501,,
jetterent,1750-1760,1789-1802,96,72,,0.1498,,
m'être,1720-1730,1730-1740,93,319,,0.1497,,
n'efl,1710-1720,1720-1730,104,177,,0.1491,,
tcms,1700-1710,1740-1750,281,290,,0.1487,,
n'ayez,1740-1750,1760-1770,181,260,,0.1484,,
c'était,1700-1710,1750-1760,978,1202,,0.1471,,
favent,1720-1730,1789-1802,100,447,,0.146,0.6896,
êtrc,1710-1720,1750-1760,74,96,,0.1452,,
n'ell,1720-1730,1730-1740,93,115,,0.1442,,
n'efi,1710-1720,1720-1730,122,129,,0.1441,,
saisions,1720-1730,1730-1740,60,64,,0.144,,
n'arrive,1700-1710,1780-1789,139,492,,0.1435,,
croyait,1700-1710,1740-1750,122,85,,0.1426,,
n'avez,1710-1720,1720-1730,932,518,,0.1414,,
j'aurai,1710-1720,1720-1730,431,294,,0.1412,,
l'eut,1710-1720,1740-1750,132,309,,0.1407,,
n'avoir,1710-1720,1770-1780,1070,4833,,0.1403,,
mardi,1730-1740,1760-1770,136,1545,,0.1377,,
vendredi,1730-1740,1780-1789,161,1249,,0.1373,,
commençoit,1700-1710,1730-1740,194,566,,0.1361,,
l'avoine,1730-1740,1740-1750,83,81,,0.1361,,
servirent,1700-1710,1710-1720,107,119,,0.135,,
s'agissoit,1710-1720,1740-1750,137,324,,0.1345,,
trouverent,1710-1720,1780-1789,345,1534,,0.1343,,
fumes,1710-1720,1770-1780,172,219,,0.1327,,
nommoit,1740-1750,1789-1802,891,394,,0.1322,0.887,
manqueroit,1710-1720,1720-1730,111,136,,0.1315,,
fimes,1710-1720,1740-1750,234,503,,0.1307,,
cinquieme,1720-1730,1730-1740,182,192,,0.1277,0.817,
voudrait,1740-1750,1750-1760,85,156,,0.1273,,
l'infanterie,1700-1710,1770-1780,100,448,,0.1268,,
sauroient,1700-1710,1740-1750,79,131,,0.1265,,
m'étoit,1700-1710,1710-1720,123,55,,0.1245,,
