word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
élement,1710-1720,1789-1802,183,562,,0.9809,0.5196,
fare,1710-1720,1730-1740,93,145,,0.9808,0.6453,
onc,1700-1710,1760-1770,288,1005,,0.9806,0.7733,
tendante,1780-1789,1789-1802,205,240,,0.9805,,
l'ob,1710-1720,1760-1770,57,221,,0.9804,,
traîner,1700-1710,1710-1720,60,65,,0.9802,0.5406,
rement,1720-1730,1789-1802,161,508,,0.9801,0.72,
semblera,1730-1740,1789-1802,254,167,,0.98,,
chanoines,1700-1710,1720-1730,299,1562,,0.9799,,
ombrage,1720-1730,1730-1740,93,133,,0.9798,0.2583,
rés,1710-1720,1730-1740,136,149,,0.9796,,
parlai,1760-1770,1770-1780,177,231,,0.9795,0.2677,
gué,1700-1710,1760-1770,61,241,,0.9794,0.4445,
troc,1740-1750,1789-1802,86,62,,0.9794,,
plaider,1720-1730,1750-1760,183,224,,0.9792,,
liez,1720-1730,1789-1802,161,140,,0.9791,,
natu,1780-1789,1789-1802,656,499,,0.9789,0.05,
para,1710-1720,1789-1802,158,385,,0.9788,0.1749,
avee,1700-1710,1730-1740,75,77,,0.9787,0.4095,
mats,1740-1750,1750-1760,138,135,,0.9785,,
conde,1730-1740,1740-1750,319,413,,0.9783,0.5256,
sem,1720-1730,1789-1802,64,506,,0.9783,0.57,
tutelle,1760-1770,1789-1802,341,449,,0.9782,,
suiffe,1700-1710,1789-1802,84,1248,,0.9781,0.5738,
poux,1720-1730,1730-1740,79,97,,0.978,0.5897,
viaire,1740-1750,1789-1802,383,646,,0.978,0.6066,
mêmc,1710-1720,1740-1750,82,107,,0.9779,,
scu,1710-1720,1740-1750,138,97,,0.9778,,
arg,1710-1720,1730-1740,119,154,,0.9776,0.9622,
reposée,1700-1710,1789-1802,174,77,,0.9776,,
mail,1710-1720,1789-1802,132,277,,0.9775,0.5169,
acres,1730-1740,1789-1802,73,722,,0.9774,0.9859,
laissés,1700-1710,1720-1730,64,224,,0.9773,0.9929,
d'ac,1720-1730,1770-1780,73,365,,0.9771,,
fiscal,1730-1740,1789-1802,82,385,,0.977,0.8813,
claudius,1700-1710,1789-1802,116,121,,0.9769,,
ruement,1700-1710,1789-1802,51,432,,0.9768,0.396,
auf,1720-1730,1770-1780,123,201,,0.9766,0.5606,
lavé,1720-1730,1750-1760,151,144,,0.9765,0.9139,
parfaire,1710-1720,1750-1760,73,105,,0.9764,0.0238,
l'em,1730-1740,1780-1789,580,1671,,0.9762,,
frédéric,1720-1730,1770-1780,195,741,,0.9761,0.5891,
pressez,1720-1730,1750-1760,72,58,,0.9759,,
leg,1730-1740,1780-1789,705,731,,0.9759,0.444,
vendôme,1700-1710,1780-1789,700,215,,0.9758,,
quoy,1700-1710,1789-1802,2392,62,,0.9756,,
reve,1700-1710,1780-1789,73,349,,0.9755,0.0388,
s'exprimer,1700-1710,1720-1730,52,71,,0.9754,,
marée,1710-1720,1740-1750,487,658,,0.9752,,
pénitence,1730-1740,1740-1750,212,199,,0.975,0.2967,
derechef,1760-1770,1789-1802,116,108,,0.9749,,
luy,1700-1710,1789-1802,16002,445,,0.9748,,
rion,1710-1720,1740-1750,143,282,,0.9748,0.5912,
conter,1750-1760,1760-1770,359,415,,0.9744,0.0154,
repré,1710-1720,1760-1770,57,512,,0.9742,0.5001,
lorique,1700-1710,1740-1750,54,147,,0.9741,0.0992,
turion,1700-1710,1789-1802,79,779,,0.9739,0.4521,
legrand,1710-1720,1770-1780,62,181,,0.9738,0.328,
accordant,1700-1710,1750-1760,165,196,,0.9738,0.9992,
légers,1700-1710,1710-1720,63,75,,0.9737,0.7053,
d'importance,1700-1710,1750-1760,100,168,,0.9735,,
gement,1720-1730,1770-1780,60,291,,0.9734,0.2535,
icy,1710-1720,1789-1802,2141,57,,0.9734,,
sauvez,1700-1710,1710-1720,106,72,,0.9733,,
pluralité,1710-1720,1789-1802,252,929,,0.9732,0.8956,
han,1730-1740,1770-1780,74,739,,0.973,0.6381,
majorité,1710-1720,1789-1802,67,2374,,0.9729,0.99,
posseder,1750-1760,1789-1802,97,50,,0.9728,,
horn,1710-1720,1720-1730,72,68,,0.9727,0.8229,
fieur,1720-1730,1780-1789,803,7733,,0.9727,0.9757,
