word,drift_1789
objet,0.6778
entreprend,0.6778
regnent,0.6777
phe,0.6776
var,0.6775
amples,0.6774
cautions,0.6773
interruption,0.6769
omettre,0.6769
descente,0.6769
lest,0.6769
facilement,0.6766
vuider,0.6765
tournois,0.6762
assurer,0.6762
montfort,0.6761
demandeur,0.6761
liers,0.6760
chanté,0.6760
baleine,0.6755
considérablement,0.6753
contraire,0.6752
d'avec,0.6750
gilles,0.6750
regler,0.6749
plat,0.6748
l'office,0.6746
civil,0.6745
mages,0.6744
confulter,0.6744
complet,0.6744
traité,0.6743
encor,0.6738
qu'ailleurs,0.6736
distincte,0.6736
college,0.6736
distinctement,0.6736
interrompu,0.6736
spectateurs,0.6735
d'importance,0.6734
sensible,0.6734
fignes,0.6732
d'assez,0.6728
extremement,0.6728
fruit,0.6725
retrait,0.6724
défunt,0.6721
maturité,0.6721
coffres,0.6720
concession,0.6717
d'obtenir,0.6717
garde,0.6716
transports,0.6715
efforts,0.6713
quela,0.6712
d'entre,0.6708
excepte,0.6704
méritoit,0.6704
acheve,0.6704
ménage,0.6704
contestation,0.6700
érant,0.6697
ties,0.6696
tiers,0.6696
gagne,0.6696
supposons,0.6695
puisque,0.6695
chantons,0.6695
excepté,0.6693
nullité,0.6691
gé,0.6688
violé,0.6687
démon,0.6682
minute,0.6681
prescrites,0.6681
l'abondance,0.6681
changement,0.6680
marqué,0.6675
d'orient,0.6674
réels,0.6670
négociation,0.6666
discernement,0.6666
corps,0.6664
cheres,0.6663
severe,0.6662
niere,0.6662
sujet,0.6662
feuille,0.6662
delivrer,0.6661
ignorans,0.6659
prochaine,0.6654
l'ardeur,0.6653
suffi,0.6653
ingrat,0.6650
confirmer,0.6649
considerer,0.6649
caprice,0.6649
rançon,0.6649
côté,0.6648
délivré,0.6645
motifs,0.6642
s'approcher,0.6641
sucres,0.6640
sceaux,0.6639
hector,0.6638
chauffée,0.6638
utilement,0.6637
marins,0.6635
cefar,0.6635
pluralité,0.6633
ensemble,0.6632
han,0.6629
mat,0.6628
recueilli,0.6626
retardement,0.6626
trompette,0.6624
ancien,0.6624
vaquer,0.6622
prises,0.6621
morte,0.6620
d'antoine,0.6618
entretenu,0.6616
pipe,0.6616
prescrit,0.6615
trafic,0.6613
poids,0.6613
tres,0.6610
mérites,0.6609
opiniâtre,0.6609
détestable,0.6609
d'ordonner,0.6608
têtes,0.6607
rapports,0.6606
l'appel,0.6606
commencement,0.6605
joignez,0.6604
l'ouvrage,0.6604
stile,0.6602
propreté,0.6602
briser,0.6601
fion,0.6600
comptez,0.6600
criminelle,0.6599
sar,0.6599
étend,0.6597
ridicule,0.6597
l'ancien,0.6594
indifférente,0.6593
maréchaux,0.6590
joué,0.6590
enter,0.6589
d'habits,0.6588
momus,0.6587
s'exposer,0.6587
dissertation,0.6586
repose,0.6583
croître,0.6583
quafi,0.6582
d'obliger,0.6580
continuation,0.6580
accommoder,0.6579
determine,0.6579
prevenir,0.6577
tradition,0.6577
l'infante,0.6576
fié,0.6575
dom,0.6573
éclatant,0.6573
fleurir,0.6572
principale,0.6572
forts,0.6571
malade,0.6567
esperer,0.6566
empêchement,0.6566
saisir,0.6565
jésuites,0.6565
l'ornement,0.6564
composent,0.6563
exige,0.6562
examinez,0.6561
cloche,0.6558
eflt,0.6558
secourir,0.6557
possede,0.6554
varron,0.6553
d'enfans,0.6551
consideration,0.6551
remplir,0.6549
ordon,0.6548
dette,0.6547
assurances,0.6546
mats,0.6546
senat,0.6546
pénitence,0.6545
cour,0.6545
sertilité,0.6541
ida,0.6541
antiques,0.6541
lavoir,0.6540
fart,0.6539
l'expression,0.6538
importante,0.6531
exercice,0.6531
ost,0.6530
travail,0.6526
réduit,0.6524
s'assembler,0.6523
unanime,0.6521
fermentation,0.6520
santé,0.6520
t'on,0.6519
bout,0.6518
fréquentes,0.6516
constant,0.6515
oeil,0.6513
ange,0.6513
miens,0.6511
ecole,0.6511
cout,0.6510
évenemens,0.6510
l'heure,0.6508
nôtre,0.6508
bienheureux,0.6507
dimanches,0.6506
fréquens,0.6502
claires,0.6502
bertrand,0.6502
mises,0.6500
princi,0.6499
ancienne,0.6499
utique,0.6498
régent,0.6498
fons,0.6496
cone,0.6495
dili,0.6495
d'endroits,0.6495
polie,0.6495
esclaves,0.6494
outré,0.6494
ouf,0.6494
ki,0.6494
pensée,0.6494
redevable,0.6492
purger,0.6491
reposée,0.6490
peupler,0.6489
disposé,0.6489
nime,0.6488
vaine,0.6488
scrupule,0.6488
réponde,0.6487
defrance,0.6487
cabinets,0.6487
distribution,0.6486
amplement,0.6486
délais,0.6485
demeure,0.6485
banni,0.6484
devin,0.6484
lequelles,0.6482
heur,0.6476
euf,0.6476
métiers,0.6476
ingrate,0.6473
vendit,0.6468
proche,0.6467
sf,0.6466
terroir,0.6463
entier,0.6463
prifes,0.6462
paya,0.6462
cachet,0.6462
faculté,0.6461
cond,0.6461
jules,0.6460
lance,0.6460
morts,0.6459
l'ombre,0.6458
dépôt,0.6457
baptiste,0.6456
l'emporte,0.6455
fidéle,0.6455
parisis,0.6451
combien,0.6449
dij,0.6449
mira,0.6448
ay,0.6445
détourné,0.6445
autres,0.6444
conçut,0.6443
revenons,0.6442
infinis,0.6442
commise,0.6442
altesse,0.6441
annales,0.6441
adam,0.6441
camille,0.6440
icy,0.6438
consequent,0.6437
réussir,0.6437
caron,0.6437
ingénieux,0.6436
insensé,0.6434
poursuite,0.6431
haute,0.6428
estimé,0.6427
volonté,0.6425
requis,0.6425
habiller,0.6422
cendre,0.6421
subsister,0.6418
l'après,0.6415
louable,0.6415
voyant,0.6414
contribuer,0.6411
inscription,0.6409
gouvernée,0.6408
legrand,0.6408
troublé,0.6408
avidité,0.6407
restes,0.6407
impatient,0.6407
sources,0.6405
d'aix,0.6405
qualité,0.6404
cons,0.6404
rions,0.6404
brevet,0.6403
espoir,0.6402
piller,0.6401
agir,0.6401
gravées,0.6400
pente,0.6398
promptement,0.6396
vent,0.6394
librairie,0.6390
tatien,0.6388
adieu,0.6386
mouvoir,0.6386
divins,0.6386
envoye,0.6385
infideles,0.6383
concerne,0.6382
mobile,0.6380
offre,0.6380
traitans,0.6379
reputation,0.6379
baltique,0.6378
d'ici,0.6373
vertueuse,0.6371
enfance,0.6370
carnage,0.6367
cous,0.6367
meurtrier,0.6367
amoureux,0.6367
refuite,0.6367
brabant,0.6366
civiles,0.6366
filer,0.6365
d'étendue,0.6363
marc,0.6363
levées,0.6362
manquer,0.6362
glife,0.6361
plein,0.6361
baille,0.6361
parer,0.6360
médiocre,0.6360
capi,0.6358
change,0.6356
mesme,0.6355
oubli,0.6354
calife,0.6353
journal,0.6353
amasser,0.6353
baguette,0.6351
princip,0.6350
baume,0.6350
employées,0.6350
détour,0.6348
peine,0.6347
attraper,0.6346
jule,0.6346
retenant,0.6345
gers,0.6344
vifs,0.6344
extraordinaires,0.6343
poussée,0.6340
nemours,0.6338
lam,0.6338
volage,0.6336
indifférent,0.6336
orner,0.6335
foli,0.6333
preuve,0.6333
simplement,0.6331
l'obliger,0.6331
complaisance,0.6331
envoyez,0.6330
s'engager,0.6330
hommage,0.6329
avertissement,0.6327
recolte,0.6327
d'entreprendre,0.6327
l'ordre,0.6326
salomon,0.6326
gabelles,0.6325
lever,0.6323
cesser,0.6322
dispute,0.6321
l'ouverture,0.6318
foudres,0.6317
linon,0.6316
suppliant,0.6316
ordures,0.6316
obscure,0.6313
suspendu,0.6310
execution,0.6310
nô,0.6309
fantaisie,0.6309
puisqu'on,0.6309
pra,0.6308
présage,0.6306
s'assurer,0.6306
chere,0.6306
rempart,0.6305
kk,0.6304
recit,0.6303
clovis,0.6301
domestique,0.6301
compagnies,0.6301
compter,0.6298
afin,0.6298
dant,0.6297
cune,0.6297
échouer,0.6297
posent,0.6296
site,0.6295
notre,0.6294
abonde,0.6294
nou,0.6294
solidairement,0.6294
nulles,0.6293
loyers,0.6292
proses,0.6290
exercer,0.6290
vraisemblance,0.6289
ecrire,0.6287
valence,0.6284
bb,0.6284
nonobstant,0.6284
rufien,0.6282
gallus,0.6281
chretien,0.6280
secretement,0.6280
étude,0.6280
commander,0.6280
travers,0.6279
l'impatience,0.6278
see,0.6277
publics,0.6274
éloignées,0.6274
climat,0.6273
nouveaux,0.6273
croyable,0.6271
monnoye,0.6271
cointe,0.6270
raccommoder,0.6270
lune,0.6269
expérience,0.6269
changemens,0.6268
crus,0.6268
pau,0.6268
cherchez,0.6267
défenses,0.6266
coûta,0.6265
couvertes,0.6265
exe,0.6264
augures,0.6263
marchandise,0.6262
risque,0.6262
s'élevent,0.6260
talents,0.6258
qu'en,0.6257
tranquillement,0.6257
valoir,0.6256
minime,0.6256
fondement,0.6255
larcin,0.6254
tellement,0.6252
excellente,0.6252
vons,0.6251
croyons,0.6251
remonter,0.6251
valere,0.6250
baux,0.6249
recommander,0.6246
réserve,0.6246
gene,0.6244
trafiquer,0.6241
romain,0.6241
pote,0.6241
parfaits,0.6241
ranger,0.6240
commande,0.6237
d'autre,0.6237
regagner,0.6237
rochelle,0.6235
eû,0.6235
cercles,0.6233
tués,0.6233
suivent,0.6229
sen,0.6229
prochain,0.6228
pretent,0.6227
dignités,0.6224
cavalier,0.6222
jointes,0.6221
traître,0.6221
chapelain,0.6220
procuration,0.6219
publiques,0.6218
pluie,0.6218
d'hercule,0.6218
jusqu'aux,0.6217
préference,0.6215
commandée,0.6215
péri,0.6215
dauphin,0.6214
troi,0.6211
déterminé,0.6211
téméraire,0.6210
moindre,0.6209
dy,0.6208
convenable,0.6208
bretagne,0.6208
sûrs,0.6207
fonctions,0.6206
traîner,0.6206
payable,0.6205
vale,0.6204
attira,0.6204
fonr,0.6201
cepen,0.6201
éleva,0.6200
loit,0.6199
profonde,0.6198
aisement,0.6198
pairement,0.6198
d'entrée,0.6198
chacun,0.6197
demandeurs,0.6197
bâtard,0.6196
ordi,0.6196
totale,0.6195
assemblées,0.6195
soupir,0.6194
casser,0.6194
partages,0.6194
moitié,0.6192
l'officier,0.6192
d'entendre,0.6192
l'entretien,0.6191
finalement,0.6190
semblant,0.6189
principaux,0.6188
l'horreur,0.6186
marquant,0.6185
lecture,0.6185
glace,0.6185
chasser,0.6183
l'étonnement,0.6183
mariés,0.6182
souffrir,0.6182
distinction,0.6181
prétendu,0.6181
neur,0.6181
quoi,0.6179
consommer,0.6177
cherté,0.6174
l'aumône,0.6173
d'avertir,0.6173
défendue,0.6172
trait,0.6171
prisonniers,0.6170
posture,0.6170
septime,0.6170
d'honnêtes,0.6170
inconnu,0.6168
féconde,0.6168
sérieux,0.6167
indemnité,0.6167
remplacer,0.6167
sage,0.6167
gardien,0.6167
produisit,0.6166
march,0.6165
protecteur,0.6165
criminelles,0.6164
leg,0.6163
chercher,0.6162
flambeau,0.6162
ecoliers,0.6161
retranché,0.6158
réservé,0.6157
l'intelligence,0.6156
inu,0.6156
malin,0.6154
médiocres,0.6151
consistance,0.6151
diligences,0.6151
l'exécution,0.6151
exactitude,0.6149
liquidation,0.6148
venans,0.6147
expresse,0.6146
d'emprunter,0.6145
prétendre,0.6145
marée,0.6144
fatigué,0.6143
cere,0.6142
nage,0.6142
criminels,0.6139
amas,0.6139
vn,0.6138
expriment,0.6138
mary,0.6138
mortelles,0.6137
signa,0.6135
d'expérience,0.6134
triment,0.6134
noit,0.6133
couronnes,0.6132
entendez,0.6132
engage,0.6131
facilité,0.6130
précédent,0.6129
objets,0.6129
l'univers,0.6129
j'espere,0.6126
rain,0.6125
tail,0.6125
fendu,0.6124
l'étranger,0.6124
rachat,0.6122
entrevoir,0.6122
royaumes,0.6119
habitans,0.6118
services,0.6116
l'action,0.6116
fois,0.6115
rouleau,0.6115
reception,0.6114
dè,0.6114
mode,0.6114
récompenses,0.6110
courons,0.6109
potion,0.6109
estimation,0.6107
temporels,0.6107
fondre,0.6105
semblable,0.6105
saisons,0.6104
l'air,0.6103
rel,0.6103
carême,0.6102
blesser,0.6100
financier,0.6100
quiconque,0.6099
conserva,0.6097
pierre,0.6097
yen,0.6097
recours,0.6097
differe,0.6095
d'af,0.6094
br,0.6094
combattant,0.6094
écarter,0.6094
remarquables,0.6094
l'emporta,0.6093
conférence,0.6092
descend,0.6092
train,0.6090
fy,0.6089
frédéric,0.6088
doyen,0.6088
live,0.6088
l'homme,0.6087
fuites,0.6087
polis,0.6087
tine,0.6084
s'avance,0.6083
carreaux,0.6083
projets,0.6082
loir,0.6082
coupa,0.6081
logement,0.6079
poete,0.6079
div,0.6077
pale,0.6077
gg,0.6076
relever,0.6076
rete,0.6075
d'ordinaire,0.6075
vertueux,0.6075
abon,0.6074
faillie,0.6074
voyez,0.6073
indi,0.6073
gie,0.6073
dele,0.6072
sm,0.6072
regretter,0.6071
remarquable,0.6070
allusion,0.6069
l'u,0.6069
tein,0.6068
profanes,0.6068
nov,0.6067
tragedie,0.6067
craindre,0.6066
gou,0.6065
agrémens,0.6064
jugées,0.6064
tite,0.6064
lente,0.6064
changer,0.6062
poste,0.6062
mufique,0.6061
indignation,0.6059
vrais,0.6057
ph,0.6057
filon,0.6056
pairs,0.6056
lité,0.6055
fumer,0.6055
composition,0.6055
classes,0.6054
lustre,0.6054
maigre,0.6053
distinguée,0.6053
meu,0.6052
extraordinaire,0.6052
concert,0.6052
sue,0.6050
apo,0.6049
auguste,0.6049
opposition,0.6049
admirables,0.6046
mu,0.6046
mortel,0.6045
assurent,0.6045
palier,0.6044
lorf,0.6044
liront,0.6043
amer,0.6042
clairement,0.6041
l'opinion,0.6040
christianisme,0.6039
vj,0.6038
arbitres,0.6037
commandé,0.6037
suite,0.6037
qu'environ,0.6037
karats,0.6036
braves,0.6035
oire,0.6034
derechef,0.6034
toscane,0.6034
exercé,0.6031
commettre,0.6029
changé,0.6029
précipitation,0.6028
icelle,0.6028
qu'encore,0.6026
atteint,0.6026
convenance,0.6025
vid,0.6025
baisser,0.6024
présentation,0.6023
interdite,0.6022
reçût,0.6020
préferer,0.6019
genéral,0.6018
peinture,0.6017
life,0.6016
consolation,0.6016
tranchée,0.6015
procedent,0.6014
merveille,0.6014
hier,0.6014
dangers,0.6013
mineur,0.6013
saluer,0.6013
repondre,0.6013
multiplié,0.6010
joseph,0.6008
laitier,0.6007
diocèse,0.6007
imaginables,0.6006
barbier,0.6006
fay,0.6006
persuade,0.6006
découverte,0.6005
l'épée,0.6004
présent,0.6004
d'esprit,0.6003
caf,0.6003
pé,0.6002
gouvernemens,0.6001
effets,0.6001
rétablit,0.6000
sentiers,0.6000
chaux,0.5999
grosses,0.5999
long,0.5999
renommée,0.5998
clergé,0.5997
l'ame,0.5996
esprits,0.5995
partage,0.5995
possesseur,0.5995
siéme,0.5995
excellence,0.5994
d'ajouter,0.5994
chés,0.5993
frappée,0.5992
royauté,0.5992
cloches,0.5991
frontieres,0.5991
supposé,0.5989
figure,0.5988
offensé,0.5987
exposer,0.5986
aides,0.5986
remue,0.5985
marquée,0.5985
seule,0.5982
respirer,0.5980
