word,drift_global,drift_moyen
posture,0.6958,0.6705
violé,0.6957,0.5944
lecture,0.6951,0.6071
compa,0.6950,0.5867
demandeurs,0.6948,0.3766
coups,0.6948,0.6034
douteux,0.6947,0.7215
recompense,0.6946,0.7048
souver,0.6946,0.5225
rein,0.6945,0.5114
dessein,0.6945,0.6808
gratuit,0.6944,0.6918
profite,0.6941,0.7067
tourné,0.6940,0.6905
hommage,0.6940,0.6079
arrangement,0.6938,0.5531
corporelle,0.6937,0.6077
souveraines,0.6936,0.7440
maturité,0.6936,0.7004
militaires,0.6936,0.6921
aujour,0.6935,0.6834
connaissance,0.6933,0.6318
boileau,0.6933,0.4345
frappant,0.6933,0.6892
dez,0.6933,0.4909
gêne,0.6930,0.3814
parfaire,0.6929,0.6675
fim,0.6924,0.4394
puisqu'on,0.6923,0.6881
poursuivant,0.6922,0.5852
sen,0.6921,0.6072
d'ordonner,0.6919,0.6255
op,0.6918,0.5823
amplement,0.6917,0.6269
rôt,0.6917,0.4387
dote,0.6916,0.6087
mittere,0.6916,0.4652
pen,0.6913,0.5345
mu,0.6913,0.5868
complet,0.6911,0.6961
vaquer,0.6910,0.6579
compose,0.6909,0.5267
repasser,0.6909,0.6002
puissamment,0.6908,0.5182
journées,0.6907,0.5811
entant,0.6906,0.4476
propre,0.6905,0.6330
s'informer,0.6905,0.6991
blement,0.6903,0.5892
afez,0.6902,0.5372
saisons,0.6897,0.5725
teinture,0.6897,0.5932
patris,0.6895,0.4132
érant,0.6893,0.6453
avancez,0.6892,0.4432
pons,0.6891,0.5474
leure,0.6891,0.5776
distinction,0.6891,0.6233
l'abondance,0.6890,0.6509
fol,0.6890,0.4478
distinctement,0.6889,0.6637
multiplie,0.6889,0.6139
fauter,0.6888,0.5764
flon,0.6888,0.6222
s'engage,0.6888,0.6821
corps,0.6886,0.6310
miracle,0.6883,0.6147
d'importance,0.6883,0.6886
murmure,0.6882,0.6475
ela,0.6881,0.5354
folle,0.6880,0.6436
d'orient,0.6879,0.6461
d'obliger,0.6877,0.6667
estre,0.6876,0.5325
opposez,0.6874,0.3452
tierce,0.6872,0.4660
laire,0.6872,0.6206
quint,0.6871,0.7817
gement,0.6871,0.5360
penible,0.6868,0.6228
ombrage,0.6867,0.7128
vellent,0.6867,0.4841
d'autre,0.6866,0.6389
pavillon,0.6863,0.6931
sacri,0.6863,0.5313
d'oeil,0.6862,0.6840
montez,0.6861,0.4921
rempli,0.6860,0.4945
réelles,0.6859,0.6479
chauffée,0.6858,0.5699
inscriptions,0.6858,0.5568
ressort,0.6857,0.6987
rope,0.6857,0.4477
d'hiver,0.6857,0.6428
cul,0.6856,0.5716
cire,0.6856,0.5330
scrupuleux,0.6856,0.6828
table,0.6854,0.7083
dece,0.6852,0.5790
qu'ailleurs,0.6850,0.6438
mant,0.6847,0.5438
london,0.6846,0.4668
culier,0.6846,0.6780
fonts,0.6845,0.6229
d'in,0.6845,0.5496
laise,0.6845,0.4763
pref,0.6844,0.6058
nombreuse,0.6843,0.7264
ties,0.6839,0.6479
l'emploi,0.6837,0.3850
d'autriche,0.6837,0.6372
attentif,0.6835,0.6232
vivant,0.6835,0.7357
forum,0.6835,0.3756
inconnue,0.6833,0.7371
s'enfuir,0.6831,0.4565
chez,0.6831,0.6083
prochains,0.6831,0.4687
aisement,0.6830,0.5536
alte,0.6829,0.5058
dant,0.6829,0.5828
fréquens,0.6829,0.6534
d'agrément,0.6829,0.4933
assemblé,0.6828,0.6482
chaire,0.6827,0.6208
mouvant,0.6826,0.4644
accommoder,0.6826,0.6372
suffisamment,0.6825,0.7439
l'esclave,0.6824,0.4582
virginie,0.6824,0.5244
l'ancien,0.6824,0.6792
san,0.6824,0.6502
baille,0.6821,0.5541
trait,0.6821,0.6435
fuc,0.6820,0.5316
d'accorder,0.6820,0.6423
finement,0.6820,0.5622
arrêter,0.6818,0.6596
solides,0.6818,0.6190
prescription,0.6817,0.7062
dona,0.6817,0.5610
rencontres,0.6817,0.6309
convoi,0.6817,0.7417
vendit,0.6814,0.6591
d'antoine,0.6811,0.6075
ruiné,0.6811,0.6332
lion,0.6810,0.4625
test,0.6810,0.6924
var,0.6810,0.5411
lorique,0.6808,0.5939
teflon,0.6806,0.5411
capi,0.6806,0.6052
l'arche,0.6805,0.6874
orner,0.6804,0.6037
détourné,0.6803,0.6324
consi,0.6803,0.5254
appercevoir,0.6801,0.6149
deces,0.6799,0.5940
l'af,0.6799,0.5363
nmme,0.6798,0.5399
prise,0.6798,0.6937
ordi,0.6797,0.6192
cloches,0.6797,0.3905
applicable,0.6796,0.2913
l'os,0.6796,0.6278
plaie,0.6795,0.3652
contin,0.6794,0.4934
inévitable,0.6791,0.6784
peine,0.6788,0.6507
tous,0.6788,0.6825
proche,0.6788,0.5354
spécialement,0.6787,0.5059
habité,0.6787,0.6761
fuites,0.6784,0.6496
cornue,0.6784,0.6475
gene,0.6783,0.5909
prose,0.6779,0.6031
emprunt,0.6777,0.6740
discernement,0.6776,0.6812
interruption,0.6775,0.5710
contredits,0.6773,0.3785
dépendoit,0.6772,0.7171
sol,0.6771,0.4832
reputation,0.6770,0.6047
d'entre,0.6768,0.5959
vitaux,0.6767,0.5125
én,0.6767,0.6381
secrette,0.6766,0.6326
diable,0.6765,0.6612
empêchement,0.6763,0.6290
verges,0.6761,0.4058
conjuration,0.6761,0.6824
populo,0.6761,0.3475
m'oblige,0.6757,0.6893
paroit,0.6757,0.5859
rance,0.6757,0.5584
inf,0.6756,0.5408
l'héritier,0.6755,0.5484
new,0.6754,0.4279
solidairement,0.6752,0.6367
nouveaux,0.6750,0.6834
rité,0.6750,0.5067
marins,0.6750,0.5443
unis,0.6748,0.2731
parcouru,0.6748,0.5210
extraordinairement,0.6748,0.5056
qu'u,0.6747,0.4370
conçut,0.6747,0.6066
entretenu,0.6746,0.6654
d'honnêtes,0.6746,0.5958
entreprend,0.6746,0.6739
divi,0.6745,0.4914
motif,0.6745,0.5307
monument,0.6743,0.6876
positivement,0.6742,0.6388
l'ornement,0.6742,0.6899
nemours,0.6741,0.5617
l'in,0.6740,0.5879
pour,0.6738,0.5852
intérieure,0.6737,0.3974
pau,0.6734,0.6104
mul,0.6734,0.4830
baisser,0.6734,0.6239
l'accepter,0.6733,0.6537
l'iniquité,0.6733,0.5381
notable,0.6730,0.4236
charte,0.6728,0.4371
ré,0.6728,0.5746
l'humeur,0.6727,0.6535
pondre,0.6727,0.5551
combien,0.6726,0.6615
d'avance,0.6725,0.4045
feaux,0.6725,0.5835
domination,0.6725,0.6188
tailles,0.6724,0.5675
augmentoit,0.6724,0.5659
entiere,0.6724,0.6622
tres,0.6723,0.7027
dérobé,0.6723,0.5454
veaux,0.6722,0.5759
poux,0.6722,0.5956
prompte,0.6720,0.6240
doc,0.6719,0.4957
impatient,0.6718,0.6315
ruption,0.6718,0.5020
cout,0.6717,0.6752
cer,0.6716,0.5490
cultivé,0.6715,0.5963
revolution,0.6714,0.5515
piller,0.6713,0.6711
soupir,0.6712,0.6398
rence,0.6711,0.7039
l'intrigue,0.6708,0.4655
bler,0.6705,0.5015
utique,0.6705,0.5382
rétablit,0.6704,0.6119
l'avertir,0.6704,0.6356
s'avance,0.6704,0.5927
entiers,0.6703,0.7351
tume,0.6703,0.5300
qu'eux,0.6703,0.6476
dommages,0.6702,0.6910
nôtre,0.6702,0.4581
nonobstant,0.6702,0.5002
c'étoient,0.6700,0.6058
cite,0.6700,0.5383
haut,0.6699,0.6556
titre,0.6698,0.6144
vôtre,0.6698,0.7011
cendre,0.6697,0.5818
citoyen,0.6697,0.6305
rain,0.6696,0.6089
l'oiseau,0.6696,0.6510
mylord,0.6695,0.5419
d'ac,0.6695,0.5912
volage,0.6693,0.5824
sacrifices,0.6691,0.4858
posent,0.6690,0.5901
prochain,0.6689,0.7362
honorables,0.6689,0.6194
l'appel,0.6688,0.5975
confit,0.6688,0.5010
réserve,0.6688,0.6299
noblement,0.6688,0.5284
encre,0.6687,0.5629
journal,0.6686,0.6822
s'assembler,0.6686,0.6713
aufll,0.6684,0.6635
choix,0.6682,0.6685
requis,0.6679,0.5898
maternel,0.6679,0.3932
consacré,0.6678,0.6052
mem,0.6678,0.5301
rive,0.6676,0.3712
rele,0.6675,0.5869
chretien,0.6674,0.5605
prétextes,0.6673,0.5556
l'heureux,0.6672,0.6241
quant,0.6671,0.7348
rudes,0.6671,0.5862
nouveau,0.6670,0.6680
sem,0.6670,0.5922
assés,0.6669,0.6378
majeure,0.6668,0.4793
l'étonnement,0.6668,0.6828
séparé,0.6668,0.7553
peplus,0.6667,0.5580
omis,0.6666,0.5418
tournez,0.6666,0.6000
fignes,0.6665,0.6563
determine,0.6663,0.5643
étroitement,0.6659,0.6308
s'exposer,0.6655,0.5865
sacré,0.6655,0.6279
oeil,0.6655,0.6165
dispose,0.6654,0.5941
emprunte,0.6652,0.6442
guéres,0.6652,0.5486
ambroise,0.6651,0.5645
choi,0.6650,0.4953
regagner,0.6647,0.6312
tigre,0.6646,0.5376
tans,0.6645,0.5338
grammaire,0.6644,0.5518
penchant,0.6643,0.6322
prompt,0.6642,0.6985
quadruple,0.6641,0.4430
d'avec,0.6641,0.6925
lorf,0.6640,0.6352
grotius,0.6640,0.7131
fontenelle,0.6638,0.4075
noce,0.6637,0.6100
unifie,0.6635,0.6275
satan,0.6633,0.5490
restent,0.6633,0.5507
confite,0.6633,0.4898
sai,0.6631,0.3639
condom,0.6631,0.5142
platte,0.6631,0.5502
l'autre,0.6629,0.6286
j'appris,0.6628,0.5581
civilité,0.6628,0.4592
misérables,0.6627,0.5662
moindre,0.6627,0.6512
