word,1700-1710→1710-1720,1710-1720→1720-1730,1720-1730→1730-1740,1730-1740→1740-1750,1740-1750→1750-1760,1750-1760→1760-1770,1760-1770→1770-1780,1770-1780→1780-1789,1780-1789→1789-1802
choeur,0.0037,0.0047,0.0024,0.0019,0.0030,0.0033,0.0043,0.0074,0.0031
choeurs,0.0025,0.0016,0.0091,0.0018,0.0062,0.0029,0.0073,0.0078,0.0022
choi,0.0042,0.0041,0.0091,0.0078,0.0081,0.0083,0.0119,0.0085,0.0083
choie,0.0013,0.0019,0.0019,0.0028,0.0027,0.0027,0.0027,0.0026,0.0020
choies,0.0014,0.0022,0.0019,0.0032,0.0030,0.0037,0.0033,0.0033,0.0023
choisi,0.0040,0.0031,0.0048,0.0036,0.0032,0.0035,0.0038,0.0048,0.0035
choisie,0.0047,0.0029,0.0059,0.0059,0.0075,0.0071,0.0090,0.0094,0.0067
choisies,0.0089,0.0046,0.0104,0.0061,0.0098,0.0078,0.0102,0.0119,0.0064
choisir,0.0038,0.0033,0.0041,0.0039,0.0043,0.0044,0.0039,0.0036,0.0041
choisis,0.0055,0.0042,0.0039,0.0043,0.0044,0.0047,0.0062,0.0053,0.0064
choisit,0.0035,0.0034,0.0033,0.0040,0.0039,0.0047,0.0063,0.0050,0.0036
choix,0.0044,0.0044,0.0050,0.0050,0.0059,0.0051,0.0054,0.0046,0.0051
choque,0.0054,0.0042,0.0072,0.0058,0.0070,0.0117,0.0100,0.0084,0.0064
choquer,0.0035,0.0030,0.0041,0.0056,0.0081,0.0074,0.0094,0.0076,0.0047
choqué,0.0050,0.0030,0.0087,0.0065,0.0047,0.0073,0.0084,0.0061,0.0039
chore,0.0021,0.0024,0.0016,0.0020,0.0032,0.0033,0.0031,0.0036,0.0031
chosc,0.0011,0.0025,0.0019,0.0041,0.0014,0.0019,0.0027,0.0020,0.0027
chose,0.0027,0.0026,0.0026,0.0027,0.0030,0.0037,0.0041,0.0039,0.0033
choses,0.0023,0.0024,0.0023,0.0025,0.0032,0.0037,0.0038,0.0042,0.0036
choux,0.0019,0.0012,0.0011,0.0007,0.0014,0.0019,0.0037,0.0039,0.0035
chr,0.0043,0.0110,0.0053,0.0053,0.0049,0.0039,0.0035,0.0075,0.0040
chretien,0.0045,0.0039,0.0049,0.0013,0.0025,0.0026,0.0013,0.0032,0.0010
chretiens,0.0098,0.0042,0.0018,0.0015,0.0010,0.0007,0.0008,0.0026,0.0008
chri,0.0049,0.0103,0.0054,0.0047,0.0035,0.0034,0.0024,0.0039,0.0035
chrif,0.0027,0.0039,0.0022,0.0025,0.0019,0.0031,0.0016,0.0035,0.0021
christ,0.0014,0.0014,0.0019,0.0014,0.0019,0.0020,0.0021,0.0020,0.0022
christianisme,0.0021,0.0043,0.0029,0.0087,0.0117,0.0111,0.0093,0.0035,0.0071
christophe,0.0039,0.0033,0.0039,0.0104,0.0122,0.0053,0.0078,0.0071,0.0046
chré,0.0066,0.0092,0.0126,0.0092,0.0086,0.0086,0.0071,0.0076,0.0037
chrétien,0.0020,0.0019,0.0042,0.0044,0.0041,0.0041,0.0044,0.0038,0.0033
chrétienne,0.0020,0.0021,0.0056,0.0035,0.0043,0.0038,0.0046,0.0043,0.0037
chrétiennes,0.0030,0.0049,0.0042,0.0038,0.0083,0.0053,0.0061,0.0031,0.0038
chrétiens,0.0024,0.0024,0.0029,0.0035,0.0039,0.0037,0.0036,0.0033,0.0029
chute,0.0043,0.0046,0.0076,0.0065,0.0062,0.0063,0.0068,0.0067,0.0057
château,0.0036,0.0030,0.0028,0.0032,0.0036,0.0039,0.0039,0.0037,0.0037
châteaux,0.0026,0.0030,0.0050,0.0049,0.0046,0.0046,0.0063,0.0071,0.0062
châtelet,0.0317,0.0054,0.0146,0.0088,0.0137,0.0062,0.0071,0.0052,0.0073
châtier,0.0044,0.0031,0.0047,0.0053,0.0060,0.0058,0.0096,0.0074,0.0036
châtiment,0.0092,0.0077,0.0114,0.0094,0.0091,0.0083,0.0103,0.0070,0.0059
chère,0.0029,0.0017,0.0033,0.0043,0.0088,0.0061,0.0053,0.0105,0.0066
ché,0.0114,0.0081,0.0146,0.0151,0.0108,0.0104,0.0164,0.0145,0.0060
chés,0.0023,0.0041,0.0146,0.0043,0.0070,0.0077,0.0079,0.0133,0.0055
chêne,0.0039,0.0027,0.0040,0.0050,0.0070,0.0103,0.0088,0.0059,0.0066
chênes,0.0043,0.0027,0.0051,0.0072,0.0070,0.0116,0.0076,0.0072,0.0047
cia,0.0053,0.0068,0.0061,0.0072,0.0071,0.0059,0.0094,0.0103,0.0083
cic,0.0088,0.0081,0.0187,0.0108,0.0071,0.0055,0.0209,0.0062,0.0052
ciceron,0.0012,0.0014,0.0017,0.0021,0.0014,0.0007,0.0017,0.0008,0.0004
