# Mots en drift significatif
# format: mot | drift_moyen | drift_global

prospérité	0.0121	0.3461
consomme	0.0121	0.3229
tré	0.0121	0.3096
révolution	0.0121	0.3586
quoiqu	0.0121	0.3288
james	0.0121	0.3133
dea	0.0121	0.3256
pression	0.0121	0.3175
indépendamment	0.0121	0.3461
quintal	0.0121	0.3052
lorf	0.0121	0.3438
plit	0.0121	0.3670
passi	0.0120	0.3500
écarter	0.0120	0.3418
atta	0.0120	0.3576
magasin	0.0120	0.3008
chaine	0.0120	0.3385
théatre	0.0120	0.3375
tice	0.0120	0.4351
abandon	0.0120	0.3118
d'ignorance	0.0120	0.3045
paresse	0.0120	0.3235
vée	0.0120	0.3750
vellent	0.0120	0.3159
d'espérance	0.0120	0.3204
dlu	0.0120	0.3152
refuge	0.0120	0.3138
moral	0.0120	0.3470
fuc	0.0120	0.3187
boue	0.0119	0.3226
accoutumés	0.0119	0.3804
cois	0.0119	0.3676
chinois	0.0119	0.3130
miner	0.0119	0.3086
roues	0.0119	0.3541
d'exciter	0.0118	0.3701
extérieur	0.0118	0.3311
devine	0.0118	0.3320
l'inégalité	0.0118	0.3183
rappelle	0.0118	0.3659
amer	0.0118	0.3065
tera	0.0118	0.3541
tée	0.0118	0.3560
dépen	0.0118	0.3398
épargne	0.0118	0.3216
roue	0.0118	0.3091
discuter	0.0117	0.3443
rebellion	0.0117	0.3268
réunir	0.0117	0.3356
fiel	0.0117	0.3323
annonce	0.0117	0.3739
ius	0.0117	0.3238
princi	0.0117	0.3250
consistance	0.0117	0.3057
invite	0.0116	0.3041
romans	0.0116	0.3026
ardemment	0.0116	0.3071
l'oisiveté	0.0116	0.3415
rapportant	0.0116	0.3158
l'aveu	0.0116	0.3476
annuellement	0.0116	0.3317
docile	0.0116	0.3363
ars	0.0116	0.3095
ache	0.0116	0.3476
navi	0.0116	0.3283
l'industrie	0.0115	0.3352
modèle	0.0115	0.3429
habi	0.0115	0.3094
solidement	0.0115	0.3401
spe	0.0115	0.3037
dal	0.0115	0.3184
saine	0.0115	0.3006
quelconque	0.0115	0.3358
malignité	0.0115	0.3125
nus	0.0115	0.3396
embrasse	0.0114	0.3454
recueilli	0.0114	0.3087
détestable	0.0114	0.3114
séduit	0.0114	0.3239
l'aide	0.0114	0.3998
habitants	0.0114	0.3005
raux	0.0114	0.3213
gardés	0.0114	0.3198
d'usage	0.0114	0.3421
iris	0.0114	0.3154
rable	0.0114	0.3200
rur	0.0114	0.3020
d'orgueil	0.0114	0.3378
dun	0.0114	0.3031
cic	0.0114	0.3164
témérité	0.0114	0.3306
