mot_cible,nb_ancres,ancres
lement,3,"vement, allumé, ment"
lendemain,23,"matin, dîner, souper, soir, arrivant, foir, courrier, jour, arriva, heures, j'allai, partit, l'heure, samedi, brusquement, leva, hier, vendredi, journée, saluer, dimanche, demain, nuit"
lent,15,"entendent, ignorent, craignent, iont, croyent, voyent, fauroient, contentent, s'attachent, veulent, s'imaginent, trompent, mêlent, jugent, profitent"
lente,7,"violente, délicate, rude, mortelle, douce, obscure, vive"
lentement,12,"vîte, épaisse, épais, rudement, rude, fatigue, humide, chaud, fumée, chaleur, rudes, doucement"
lentulus,13,"marcellus, lucius, quintus, marcus, conful, catilina, pompée, servius, préteur, brutus, clodius, cefar, césar"
leon,6,"pontificat, clement, nicolas, gregoire, moine, florence"
lequel,14,"duquel, laquelle, lesquelles, icelui, desquels, ledit, dernier, arrêté, susdit, enfoncé, desquelles, quele, couché, l'endroit"
lequelles,6,"susdites, remises, etrangeres, d'hollande, traites, ccttc"
lera,9,"scra, fera, demeurera, vacation, dudir, saie, d'icelui, tiendra, sera"
lesdites,24,"desdites, d'icelles, icelles, lesdits, aucunes, desdits, iceux, icelle, refaits, saisies, susdites, auxdits, marquées, d'icelui, payées, remises, d'iceux, valables, icelui, d'icelle, portées, nulles, jugées, quelconques"
lesdits,20,"refaits, desdits, auxdits, iceux, lesdites, delits, d'iceux, desdites, susdits, icelle, aucuns, jurez, ledit, icelles, ladite, d'icelles, saus, audit, rarefié, comptables"
lesquelles,15,"desquelles, marquées, tirées, établies, quelles, portées, particulières, trouvées, certaines, différentes, contenues, susdites, spirituelles, expliquées, passées"
lesquels,15,"desquels, lesquelles, lequel, faits, differens, divers, iceux, différens, laquelle, tels, susdits, lesdits, contenus, quels, refaits"
lest,3,"last, flor, froment"
lettre,8,"harangue, réponse, copie, proposition, lettres, billet, écrite, affaire"
lettres,12,"harangues, lettre, mémoires, copies, extraits, propositions, ordonnances, sentences, traites, memoires, déclarations, signées"
lettrés,8,"privileges, traites, mandemens, assignations, quittances, edits, supplians, registres"
leur,5,"icur, perdent, reçoivent, prennent, profitent"
leva,28,"sortit, descendit, s'arrêta, courut, entra, quitta, brusquement, s'avança, ouvrit, jetta, tourna, remit, retira, conduisit, marchoit, monta, entendit, tira, suivit, poussa, cria, pressa, présenta, regarda, parut, ferma, jeta, montra"
levant,8,"couchant, septentrion, nord, midi, l'orient, l'amerique, d'orient, guinée"
leve,6,"couvre, jette, retourne, crie, tombe, tremble"
levent,7,"vendent, payeront, tirent, poussent, passent, jettent, perdent"
lever,19,"remuer, couvrir, marcher, jetter, retirer, fermer, ouvrir, sortir, palier, descendre, couper, battre, mettre, décharger, monter, assembler, dresser, tourner, mouiller"
leveur,3,"lecteur, preface, critique"
levez,12,"portez, placez, retournez, trouvez, mettrez, gardez, préparez, partez, avancez, jettez, formez, passez"
levres,13,"oreilles, dents, épaules, filets, aîles, entrailles, plumes, têtes, ondes, jambes, pointes, cheveux, veines"
levure,9,"publication, l'impression, enregistrer, addition, imprimer, reception, inventaire, lecture, l'adjudication"
levé,12,"couché, arrêté, retiré, monté, amené, jetté, retourné, ouvert, dressé, averti, délivré, saisi"
levée,13,"saisie, décharge, sommation, saisies, remboursement, l'adjudication, provision, payée, expédier, sortie, restitution, l'execution, payement"
levées,5,"prises, garnisons, fortifications, augmentations, payées"
leçon,10,"conjecture, expression, traduction, correction, manuscrits, invention, texte, formule, définition, maxime"
leçons,7,"inclinations, histoires, harangues, avantures, louanges, maximes, sermons"
liaison,11,"familiarité, conformité, union, intelligence, amitié, alliance, différence, distinction, difference, l'union, relation"
liaisons,5,"galanteries, inclinations, amies, maîtresses, entretiens"
liant,6,"brutal, pointu, aigre, fade, gracieux, délicat"
liber,8,"unus, hanc, habere, vitam, denique, magno, hujus, populi"
liberte,5,"privileges, icur, icurs, privilèges, tranquilité"
libertins,3,"ignorans, impies, joueurs"
liberté,4,"tranquilité, possession, repos, resolution"
libraire,7,"imprimeur, d'imprimer, bibliothèque, libraires, preface, imprimer, edition"
libraires,14,"imprimeurs, d'imprimer, communauté, comptables, présentes, imprimeur, libraire, registres, sénéchaux, imprimer, reglemens, défenses, exemplaires, arrets"
librairie,15,"l'exposer, conformément, conformement, reglemens, libraires, imprimeurs, exemplaires, originaux, papier, d'imprimer, registres, imprimeur, iceux, statuts, extraits"
library,18,"literature, kress, university, economics, goldsmithsâ, primary, french, google, document, search, monograph, books, whether, https, works, difficult, please, also"
librement,5,"demeurer, arbitre, honnêtement, contraindre, permettre"
libéralité,3,"dignité, acquisition, humilité"
licet,5,"aliter, animus, potuit, verum, habeat"
liege,11,"d'anvers, cologne, brabant, moscovie, flandres, milan, rotterdam, rochelle, bourg, anvers, duché"
liens,6,"coeurs, mortels, amants, amans, serments, voeux"
lier,6,"serrer, fendre, couper, attacher, tacher, raccommoder"
lierre,3,"corail, d'arbre, feuilles"
lieu,8,"occasion, endroit, labour, rang, l'endroit, terme, licu, préference"
lieue,9,"demie, allée, plaine, douzaine, heure, aune, lieues, située, riviere"
lieues,10,"miles, latitude, située, environ, nord, riviere, l'isle, large, détroit, semaines"
lieurs,10,"miles, lieues, latitude, nord, vcrs, septentrionale, isles, détroit, rivieres, large"
lieutenans,20,"lieutenants, baillifs, sénéchaux, civils, officiers, vicaires, capitaines, avocats, sergens, gouverneurs, bailliages, conseillers, huissiers, procureurs, justiciers, superieurs, généraux, secretaires, magistrats, juges"
lieutenant,20,"colonel, commandant, d'armée, commissaire, officier, régiment, intendant, amiral, controlleur, prévôt, gouverneur, capitaine, avocat, bailli, bailliage, secretaire, surintendant, procureur, receveur, député"
lieutenants,24,"lieutenans, vicaires, généraux, sénéchaux, baillifs, capitaines, avocats, conseillers, officiers, justiciers, maréchaux, sièges, procureurs, escadrons, gouverneurs, bataillons, dragons, sergens, huissiers, bailliages, gentilshommes, secretaires, superieurs, agens"
lieux,7,"endroits, fleuves, sombres, bailliages, pays, païs, edifices"
liez,8,"mêlez, unis, bouts, attachez, jettez, placez, formez, cloux"
lifant,6,"intitulé, lire, commentaire, lecteur, thou, preface"
lifte,6,"relation, bibliothèque, ordonnance, formule, description, addition"
ligion,7,"religion, culte, l'evangile, apostolique, chrétienne, ecriture, vocation"
ligne,8,"colonne, directe, gauche, droite, posez, lignes, branche, centre"
lignes,6,"pouces, pointes, planches, doigts, largeur, quarré"
lignifie,9,"signifie, fignifie, latin, l'appelle, entend, s'entend, prononce, s'appelle, grec"
ligue,6,"alliance, l'espagne, l'angleterre, revolte, guerre, l'archiduc"
lille,12,"barcelone, catalogne, flandre, valence, brabant, dauphiné, flandres, cologne, luxembourg, rochelle, tournay, tournai"
limites,7,"royaumes, seigneuries, rivieres, mers, provinces, terres, dépendances"
limité,3,"expiré, prescription, rachat"
linge,18,"verre, broche, panier, morceau, l'huile, chemise, paille, fondu, graisse, bouilli, vinaigre, mouchoir, citron, beurre, lard, toile, d'huile, vase"
lingots,10,"monnoyé, vaisselle, d'especes, troc, d'argent, fabriquer, l'or, marcs, espèces, d'or"
linon,16,"sinon, requiert, d'icelui, d'icelle, delits, saus, scra, dudir, l'adjudication, auxdits, bailler, dudit, desdites, saisie, surplus, desdits"
lion,3,"francfort, hambourg, anvers"
liqueur,20,"boisson, vapeur, huile, l'huile, plante, herbe, farine, vinaigre, bouteille, d'huile, pâte, goutte, bile, goute, chaude, l'urine, l'odeur, l'eau, bouilli, verre"
liqueurs,8,"confitures, viandes, légumes, prunes, pipes, odeurs, denrées, eaux"
liquidation,14,"l'adjudication, remboursement, provenans, surplus, d'icelui, d'iceux, quittances, quittance, comptables, restitution, susdit, reception, desdits, augmentations"
liquide,3,"poix, tartre, soufre"
lire,15,"écrire, rapporter, expliquer, appliquer, avouer, citer, remarquer, entendre, apprendre, enseigner, publier, lecteur, répondre, d'écrire, lecture"
liront,11,"voudront, ignorent, écrivent, trouveront, feront, iont, travaillent, donneront, entendent, auront, seront"
lisbonne,17,"barcelone, madrid, seville, valence, cadix, portugal, milan, anvers, venise, d'anvers, genes, catalogne, livourne, naples, hambourg, rochelle, florence"
lisent,13,"écrivent, parlent, disent, mêlent, enseignent, croyent, trompent, rejettent, prétendent, piquent, suivent, condamnent, entendent"
lisette,7,"angélique, valère, merlin, frontin, isabelle, lucile, connais"
lisez,8,"correction, text, page, document, marge, fonts, economics, primary"
liste,8,"signée, bibliothèque, bibliotheque, recueil, mémoires, edition, assemblée, extraits"
literature,18,"library, kress, university, economics, goldsmithsâ, primary, french, document, monograph, https, search, google, whether, works, books, difficult, author, please"
litres,16,"remises, traites, lettres, payemens, mandemens, comptables, changes, quittances, assignations, titres, extraits, usances, privileges, registres, correspondans, monnoyés"
lits,7,"plats, trous, bâtons, rouvraies, pots, paniers, cabinets"
livourne,15,"genes, cadix, seville, venise, anvers, francfort, hambourg, milan, ducats, florence, d'anvers, reaux, rochelle, flor, iooo"
livra,10,"montra, rendit, opposa, attira, remit, donna, renvoya, porta, retira, perdit"
livre,13,"volume, recueil, journal, commentaire, intitulé, manuscrit, poëme, l'auteur, ouvrage, chapitres, edition, volumes, chiffre"
livrer,5,"sauver, ôter, quitter, arracher, ceder"
livres,12,"lols, millier, oooo, pistoles, écus, florins, sols, livrc, sterling, deniers, iooo, muids"
livrez,5,"préparez, cherchez, vivez, fuyez, montrez"
livré,6,"sauvé, délivré, volé, maltraité, condamné, fauvé"
livrées,5,"vendues, payées, achetées, marquées, portées"
liée,3,"unie, préparée, changée"
liées,3,"jointes, coupées, mêlées"
loca,4,"videre, aliquo, partem, locum"
locis,6,"verbis, locum, animus, quidquid, animi, vitam"
loco,6,"alias, scilicet, locum, eadem, bona, eodem"
locum,7,"quidquid, animus, magno, ipse, locis, hujus, vitam"
locus,8,"animus, locum, tanta, patria, quidquid, verum, mortem, nullum"
loge,16,"galerie, salle, village, château, allée, fenêtre, promenade, logis, carrosse, sale, loger, cuisine, fosse, l'appartement, cabaret, cave"
logemens,5,"edifices, colleges, équipages, bâtimens, maisons"
logement,20,"appartement, carrosse, château, cabinet, poste, logis, quartier, dîner, l'appartement, congé, équipage, loger, cuisine, palais, carosse, souper, boutique, jardin, cabaret, hôtel"
loger,18,"promener, mener, souper, logis, visiter, aborder, acheter, demeurer, transporter, entrer, bâtir, aller, retirer, placer, trouver, enfermer, camper, dîner"
logis,24,"carrosse, appartement, boutique, cabaret, village, l'appartement, souper, promener, loger, cabinet, coffre, quartier, valet, carosse, cuisine, arrivant, salle, dîner, château, portier, maison, palais, jardin, cave"
logé,17,"enfermé, retourné, retiré, entré, couché, allé, sorti, arrivant, mené, amené, rencontré, demeuré, enterré, enfermée, logis, retirée, marié"
loient,3,"entendent, vouloient, disoient"
loin,8,"vîte, vite, aise, vouloir, éloignée, aife, voudrois, crains"
lois,5,"loix, ordonnances, serments, commandemens, constitutions"
loisir,16,"soin, envie, patience, foin, plaisir, entretien, achevé, d'impatience, travail, commencé, besoin, repos, agréablement, tâché, travaillé, sommeil"
loit,10,"soit, toit, parût, suiffé, puise, faille, voulût, ibit, ctoit, crût"
loix,10,"ordonnances, constitutions, régles, inclinations, regles, voyes, maximes, clauses, decrets, conditions"
lols,7,"sols, millier, picce, pisces, livrc, vingr, flor"
london,11,"primary, french, economics, university, regis, anno, literature, monograph, document, library, https"
londres,16,"amsterdam, hambourg, d'anvers, d'amsterdam, anvers, rotterdam, sterling, banquier, négociant, lisbonne, seville, genes, venise, francfort, livourne, cadix"
long,13,"longueur, expiré, longs, longue, longtemps, espace, rude, pendant, court, profond, d'espace, longues, jusqu'au"
longs,13,"courts, rudes, noirs, larges, bleus, obscurs, courtes, longues, ronds, forts, beaux, petits, vigoureux"
longtemps,6,"disgrâce, j'étais, était, mlle, jusqu'à, jusqu'au"
longtems,11,"longtemps, long, jusqu'au, jusques, tems, jusqu'à, incommodé, d'années, temps, jusqu, hier"
longue,11,"courte, profonde, rude, grosse, obscure, longues, délicate, épaisse, dure, violente, penible"
longues,11,"courtes, grosses, larges, petites, délicates, coupées, blanches, rudes, longs, queues, courts"
longueur,12,"largeur, hauteur, grosseur, distance, profondeur, l'épaisseur, quarré, large, pouce, quarrée, pouces, d'espace"
longueurs,5,"susdites, etoffes, barres, aunes, proportions"
lont,14,"font, iont, reçoivent, tirent, voyent, trouvent, tont, deviennent, demeurent, feroient, feront, ôtoient, voient, perdent"
lord,4,"robert, hall, comte, richard"
lorf,5,"croye, crût, s'imagine, pourvû, attendoit"
lorraine,15,"d'auvergne, d'anjou, d'autriche, rohan, duché, luxembourg, savoye, savoie, noailles, grammont, cologne, comté, bade, mazarin, d'albe"
lors,11,"tellement, parce, quand, empêcher, d'autant, entant, attendu, moment, ainli, commencement, lendemain"
lorsqu,4,"quand, gelée, graine, médiocrement"
lorsqu'elle,7,"changée, quand, couchée, touchée, laide, jettée, épaisse"
lorsqu'elles,7,"ellcs, mouches, coupées, chaudes, mêlées, celles, ouvertes"
lorsqu'il,8,"quand, s'il, curion, l'oiseau, lors, pompée, l'ayant, prisonnier"
lorsqu'ils,7,"lorsqu'elles, contraints, chiens, servis, obligez, pigeons, ccux"
lorsqu'on,10,"l'on, quand, l'oiseau, quelquefois, l'endroit, ordinairement, s'il, rarement, gelée, souvent"
lorsqu'un,9,"méchant, d'un, qu'un, brave, galant, jeune, pauvre, honnête, brutal"
lorsque,6,"quand, lors, d'où, ensuite, l'endroit, lorsqu'elles"
lots,11,"partages, payemens, fiefs, créanciers, deniers, payez, legs, provenans, proprietaires, fermiers, héritages"
louable,6,"rare, délicate, agreable, admirable, veritable, sage"
louage,6,"fret, l'achat, achat, quittance, gages, fermier"
louange,6,"louanges, virgile, horace, réputation, poëte, merite"
louanges,10,"marques, graces, actions, vertus, prieres, harangues, respects, merveilles, galanteries, perfections"
loue,5,"moque, aime, parle, croye, s'imagine"
louer,6,"admirer, imiter, railler, enseigner, accommoder, appeller"
louis,10,"henri, charles, d'henri, henry, toison, philippe, jacques, robert, léon, pontificat"
loup,10,"sanglier, chien, cerf, chiens, chasse, berger, loups, sauvage, troupeau, mouton"
loups,11,"cerfs, chiens, bêtes, serpens, bergers, oiseaux, vaches, moutons, agneaux, brebis, animaux"
louvois,13,"villars, évêque, maréchal, cambrai, vendôme, tellier, l'abbé, noailles, luxembourg, courtisan, cardinal, secrétaire, chancelier"
louvre,9,"bibliotheque, bibliothèque, château, chateau, chapelle, cabinet, galerie, exemplaires, salle"
loué,5,"connu, estimé, maltraité, écouté, fauvé"
loyers,9,"rentes, redevances, arrérages, augmentations, gains, provenans, pensions, l'achat, remboursement"
lucile,6,"arlequin, bonjour, angélique, parbleu, pierrot, lisette"
lucius,8,"marcus, quintus, lentulus, servius, marcellus, conful, dion, catilina"
lumiere,6,"soleil, divinité, rayons, image, terrestre, chaleur"
lumieres,5,"pensées, operations, perfections, regles, inclinations"
lumineux,6,"brillant, lumiere, soleil, rayons, nuage, etoiles"
lumière,11,"lumiere, rayons, nuage, soleil, l'ombre, vapeur, fumée, image, ombres, lune, etoiles"
lumières,4,"pensées, inclinations, actions, perfections"
lundi,21,"mardi, vendredi, samedi, dimanche, octobre, novembre, pâques, février, fontainebleau, fevrier, avril, decembre, septembre, versailles, janvier, d'octobre, juin, courrier, matin, juillet, lendemain"
lune,4,"soleil, rayons, etoiles, lumiere"
lustre,7,"empire, merite, ornement, naissance, éloge, origine, éclat"
luxembourg,8,"villars, savoie, lorraine, grammont, noailles, d'albe, connétable, d'auvergne"
lyon,14,"bourges, bourdeaux, nevers, rouen, paris, rennes, d'anvers, troyes, tournay, rochelle, toulouse, bordeaux, nantes, d'amsterdam"
lyre,10,"bacchus, jupiter, vulcain, neptune, junon, diane, minerve, nymphe, chanter, déesse"
lâche,6,"perfide, traître, cruel, colère, inhumaine, infidèle"
lâcher,14,"serrer, crier, arracher, remuer, frapper, couper, tourner, vuider, approcher, enfoncer, fendre, mouiller, nager, bride"
lâches,4,"cruels, rebelles, mortels, méchans"
lève,4,"couvre, leve, jette, pousse"
lèvres,13,"épaules, cheveux, dents, aîles, plumes, oreilles, entrailles, jambes, genoux, yeux, doigts, soupirs, veines"
légat,10,"pape, cardinal, évêque, leon, connétable, tellier, léon, pontificat, archevêque, ambassadeur"
léger,8,"délicat, violent, épais, leger, aigre, rude, vigoureux, brillant"
légers,6,"forts, obscurs, rudes, longs, courts, noirs"
légitime,3,"legitime, héritier, bâtard"
légitimement,4,"valablement, restituer, restitution, prétendre"
légitimes,9,"bâtards, héritiers, mariages, successions, partages, donations, nobles, mâles, tuteurs"
légumes,13,"pois, d'herbes, secs, herbes, d'inde, raisins, poires, choux, prunes, pommes, volaille, poules, amandes"
légère,11,"délicate, vive, courte, douce, claire, longue, profonde, violente, surprenante, épaisse, grande"
légèrement,8,"rudement, vîte, épais, doucement, remuant, épaisse, brusquement, vite"
léon,7,"ferdinand, henri, constantin, castille, d'henri, évêque, surnommé"
m'aime,8,"aime, j'aime, connais, m'aimez, verrai, crains, lucile, infidèle"
m'aimez,13,"seriez, aimez, verrai, serez, souvenez, partez, cherchez, souffrez, attendez, vivez, étes, demandez, direz"
m'ait,21,"j'aye, m'avait, m'avoit, n'aye, n'ait, j'eusse, fusse, n'eût, l'eût, m'avez, l'ait, n'ai, m'as, j'avais, m'étois, l'avois, m'avoir, eusse, t'ai, j'ai, m'ont"
m'appelle,6,"bonjour, sors, parbleu, lucile, arlequin, pierrot"
m'arrête,3,"attends, craignez, crains"
m'as,25,"t'ai, m'étois, n'as, feras, m'avez, j'aye, l'avois, qu'ai, m'avoit, m'avait, m'avoir, m'ait, t'en, m'ayant, j'ai, l'ai, aurois, sois, m'ont, m'étant, l'avez, j'avois, j'avais, avois, avais"
m'auroit,22,"j'eusse, m'ait, n'aurait, aurait, n'eût, m'avait, n'auroit, j'avais, n'avois, l'avois, n'aurois, j'aurois, m'avoit, l'avait, auroit, aurois, l'eût, m'avez, j'avois, serois, m'étois, auriez"
m'avait,29,"l'avait, j'avais, m'avoit, avait, aurait, s'était, m'ait, avais, l'eût, m'étois, j'étais, m'ayant, l'avaient, serait, fusse, serais, m'as, l'avois, l'avoit, n'avait, m'avoir, était, m'avez, j'eusse, t'ai, n'avais, j'avois, avois, j'ai"
m'avez,29,"l'avez, avez, aviez, avés, eussiez, auriez, j'ai, avois, l'avois, m'étois, m'avoit, m'ont, m'avoir, j'avois, aurois, l'ai, m'as, avais, aurez, étes, m'ait, t'ai, m'avait, j'aye, j'avais, êtes, qu'ai, j'aurois, m'ayant"
m'avoir,29,"l'avoir, s'être, m'être, m'avoit, l'avois, m'étois, m'avez, m'as, m'avait, l'eut, j'avois, avoir, l'avez, m'ayant, avois, m'ait, l'avoit, l'eût, t'ai, m'ont, j'avais, l'ayant, j'eusse, j'ai, l'avait, l'ai, aurois, m'étant, d'avoir"
m'avoit,29,"m'avait, m'étois, l'avoit, j'avois, m'ayant, m'avoir, m'ait, l'avois, avoit, avois, l'eût, m'avez, j'eusse, s'étoit, l'avait, m'as, j'avais, m'ont, j'étois, t'ai, m'étant, l'eut, j'aurois, l'ayant, étois, j'ai, aurois, avais, n'avois"
m'ayant,30,"m'étois, l'ayant, m'avoit, j'avois, l'avois, s'étant, m'avait, l'avoit, m'étant, avois, aiant, j'avais, m'as, m'avoir, t'ai, l'avait, m'avez, s'étoit, j'eusse, s'était, avais, j'eus, j'étois, j'ai, j'aurois, l'eût, eusse, l'ai, m'ont, m'ait"
m'empêcher,7,"contenterai, saurois, fais, rire, queje, dois, j'eus"
m'en,18,"j'en, t'en, serai, pourrai, dorante, ferois, j'aurai, verrai, queje, parbleu, aurois, saurai, m'avoir, yous, dois, j'aurois, t'ai, ferai"
m'est,22,"suis, serai, ferois, fuis, sera, serois, serait, n'est, seroit, j'étais, m'aime, m'étant, fusse, m'étois, j'étois, serais, n'es, êtes, étois, sois, ferai, m'avez"
m'eût,26,"m'avoit, m'avait, l'eût, l'avait, j'eusse, m'ait, j'avais, aurait, m'as, l'avoit, m'étois, m'avoir, l'avois, avait, n'eût, l'eut, m'avez, avoit, n'aurait, m'ayant, avais, t'ai, j'avois, avois, aurois, j'aurois"
m'imagine,12,"pense, croyez, crois, voudrois, souhaite, j'espere, diroit, voudrais, savez, conçois, souviens, crains"
m'oblige,15,"dois, voulais, voulois, promets, devois, saurai, pouvois, tâchez, veux, supplie, pourriez, prie, voulez, voulus, pourrais"
m'ont,27,"l'ont, l'avoient, avaient, m'avez, l'avaient, eussent, m'avoit, auroient, aient, j'ai, m'étois, avois, avoient, s'étaient, m'as, m'ait, n'eussent, m'avoir, n'ayent, t'ai, ayent, m'avait, j'avois, l'avois, m'ayant, avais, j'aurois"
m'étant,26,"m'étois, j'étois, m'ayant, j'avois, étois, m'avoit, suis, m'as, trouvai, serois, fusse, l'ayant, j'allai, m'avait, s'étant, ferois, j'étais, l'avois, t'ai, m'être, m'avoir, j'avais, fuis, demeurai, avois, s'étoit"
m'étois,28,"m'avoit, j'avois, l'avois, m'ayant, j'étois, m'étant, s'étoit, avois, l'avoit, ferois, étois, m'avait, m'avez, suis, m'as, s'est, m'avoir, serois, j'avais, n'avois, j'ai, j'aurois, s'était, avais, fusse, aurois, t'ai, eusse"
m'étoit,21,"m'est, j'étois, m'étois, étoit, m'avoit, m'étant, seroit, estoit, j'étais, serait, ferois, étois, était, fusse, m'avait, n'étoit, serois, j'avois, suis, paroissoit, feroit"
m'étonne,7,"connais, n'êtes, sais, croyez, m'aime, crains, n'es"
m'être,16,"m'avoir, être, l'avoir, s'être, estre, avoir, serois, n'être, m'étois, étre, fusse, ferois, êrre, suis, m'étant, m'avait"
machine,6,"piéce, opération, manoeuvre, vapeur, espéce, poulie"
machines,3,"instrumens, piéces, rencontres"
madame,9,"isabelle, valère, angélique, lisette, monsieur, lucile, nièce, parbleu, dorante"
made,5,"only, than, which, them, there"
mademoiselle,10,"bonjour, bertrand, nièce, isabelle, comedie, angélique, lucile, tante, comtesse, soeur"
madrid,18,"lisbonne, barcelone, valence, cadix, seville, naples, l'archiduc, courrier, catalogne, espagne, d'anvers, anvers, venise, genes, portugal, milan, d'espagne, ambassadeur"
magasin,6,"vivres, munitions, tonneaux, l'achat, cuisine, hardes"
magasins,9,"boutiques, équipages, vivres, munitions, ports, denrées, fortifications, garnisons, provisions"
mages,10,"juifs, idoles, anges, martyrs, pasteurs, patriarches, prêtres, fidèles, fideles, judée"
magie,5,"science, l'art, merveilleux, divinité, théologie"
magis,5,"verbis, animus, multa, animi, quidquid"
magistrat,12,"criminel, dictateur, senat, sénat, pontife, tribun, préteur, officier, magistrats, prélat, chef, prêtre"
magistrats,16,"gouverneurs, consuls, confuls, tribuns, colleges, citoyens, juges, decrets, officiers, prêtres, avocats, ministres, syndics, vicaires, superieurs, evêques"
magna,4,"locum, vitam, animus, dico"
magni,6,"denique, locum, semper, mortem, quidquid, scilicet"
magnificence,13,"grandeur, magnifique, beauté, pompe, superbe, magnifiques, superbes, d'éclat, ornée, ornemens, d'ornemens, l'ornement, orné"
magnifique,14,"superbe, magnifiquement, ornée, orné, richement, magnifiques, magnificence, galerie, salle, marbre, brillant, palais, riche, agréable"
magnifiquement,14,"richement, magnifique, ornée, orné, magnifiques, galerie, pierreries, l'appartement, salle, habillé, vêtu, superbe, broderie, dames"
magnifiques,17,"superbes, riches, richement, ornemens, peintures, pierreries, magnifique, agréables, beaux, antiques, statues, magnifiquement, temples, edifices, ornée, magnificence, d'ornemens"
magno,3,"locum, vitam, primum"
mahomet,7,"payen, pontife, martyr, prophete, constantin, d'alexandre, david"
maigre,10,"épaisse, grasse, laide, vache, sauvage, pomme, gras, graisse, humide, aigre"
maigres,13,"légumes, secs, gras, poulets, d'herbes, pois, humides, chaudes, verds, vaches, choux, herbes, poules"
main,16,"épée, sceptre, bras, teste, tête, ceinture, bâton, l'épaule, robe, bride, bague, debout, chemise, doigt, poing, gorge"
mains,11,"bras, genoux, jambes, épaules, entrailles, dents, camarades, main, oreilles, aîles, cheveux"
maintenant,14,"comment, aujourd'hui, voici, présent, d'expliquer, quelles, nous, yous, demandez, amplement, ceci, demain, present, queje"
maintenir,6,"conserver, exercer, établir, regler, entretenir, defendre"
maintenu,5,"confirmé, établi, déchargé, approuvé, conservé"
maire,13,"echevins, syndics, jurez, sieurs, bordeaux, bailli, pardevant, supplians, police, demandeurs, avocats, notaires, vicomte"
maires,11,"echevins, sergens, avocats, procureurs, jurez, syndics, colleges, sénéchaux, bailliages, maire, baillifs"
maison,18,"famille, maisons, logis, salle, chambre, village, palais, abbaye, boutique, château, loger, l'appartement, moilon, jardin, allée, cuisine, galerie, ville"
maisons,6,"boutiques, villes, murailles, edifices, jardins, eglises"
maitre,20,"compagnon, maître, patron, valet, métier, matelot, secretaire, portier, voisin, marchand, office, fermier, officier, camarade, maitres, tailleur, service, tuteur, capitaine, serviteur"
maitres,10,"apprentifs, jurez, maîtres, veuves, delits, refaits, ecoliers, tenus, proprietaires, marchands"
maitresse,7,"nourrice, maîtresse, servante, vieille, esclave, parente, veuve"
majeste,12,"majesté, altesse, humble, excellence, zele, serviteur, royale, d'etat, humblement, remontrance, rarefié, secretaire"
majesté,7,"majeste, altesse, humblement, ordonner, excellence, rarefié, expédier"
majeur,14,"mineur, tutelle, tuteur, legitime, minorité, absent, rachat, retrait, héritier, valable, mineurs, prescription, débiteur, défunt"
major,10,"colonel, régiment, lieutenant, d'armée, d'infanterie, commissaire, capitaine, officier, commandant, gouverneur"
majorité,16,"majeur, mineur, tutelle, tuteur, minorité, accomplis, legitime, mineurs, publication, retrait, renonciation, expiré, succession, tuteurs, élection, prescription"
make,10,"made, find, other, only, most, those, before, also, them, upon"
malade,6,"maladie, incommodé, medecin, goutte, malades, médecin"
malades,9,"remedes, pauvres, domestiques, maladies, vieillards, guérir, morts, maladie, aumônes"
maladies,5,"humeurs, remedes, guérir, malades, douleurs"
malgré,4,"outré, contre, attira, causoit"
malheur,18,"desespoir, déplaisir, chagrin, destin, accident, affliction, regret, peril, rival, danger, trouble, malheureux, courroux, crime, desordre, hélas, trépas, sort"
malheureuse,12,"cruelle, hélas, affligée, helas, funeste, ravie, malheureux, inhumaine, mortelle, déplorable, miserable, triste"
malheureusement,4,"tomba, s'étant, malheur, violente"
malheureux,13,"cruel, cruels, hélas, affreux, fatal, traître, perfide, funeste, heureux, déplorable, inhumaine, helas, triste"
malheurs,7,"maux, ennuis, souhaits, évenemens, soupirs, douleurs, crimes"
mali,9,"potuit, hominum, mortem, licet, tanti, verum, animi, hominis, habet"
malice,4,"tromperie, violence, fraude, fourbe"
maligne,6,"violente, vapeur, mortelle, méchante, bile, furieuse"
malignes,5,"humeurs, odeurs, maladies, vapeurs, mortelles"
malin,9,"brutal, fourbe, méchant, plaisant, vilain, diable, coquin, fripon, joli"
malis,3,"locis, videre, animus"
malo,8,"sulpice, cloud, rochelle, nantes, thomas, pons, martin, germain"
maltraité,8,"accusé, affligé, volé, sauvé, averti, condamné, fauvé, mené"
mamellé,10,"majesté, rarefié, majeste, genéraux, refaits, lesdits, auxdits, desdits, concil, audit"
mamelé,11,"rarefié, majeste, concil, majesté, refaits, desdits, auxdits, lesdits, delits, genéraux, supplians"
manche,8,"rond, poulie, doigt, pointu, anneau, queue, clou, bâton"
manda,22,"pressa, présenta, écrivit, remit, renvoya, apprit, envoya, chargea, marqua, apporta, ordonna, demanda, déclara, montra, demandait, promit, consentit, commanda, proposa, pria, reçut, l'envoya"
mande,13,"souhaite, mandé, mander, envoye, prie, j'espere, plaira, pense, remercie, demandoit, demandez, attend, demande"
mandemens,17,"comptables, sergens, procureurs, decrets, ordonnances, contraventions, quittances, syndics, reglemens, conformement, registres, statuts, déclarations, huissiers, iceux, edits, arrets"
mandement,11,"procuration, execution, sergent, procureur, exploit, renvoi, requis, consentement, huissier, bref, nomination"
