mot_cible,nb_ancres,ancres
admirer,9,"paroître, éclater, lasser, imiter, connoître, regner, comprendre, oublier, entendre"
admiré,8,"connu, conservé, goûté, distingué, rapporté, suivi, estimé, remarqué"
adopté,5,"appellé, confirmé, prouvé, connu, rapporté"
adorable,7,"infidèle, charmante, image, helas, incomparable, immortelle, adore"
adore,6,"souffrez, vivez, aimez, adorer, aime, prépare"
adorer,4,"adore, célébrer, autels, prier"
adoré,3,"descendu, bienheureux, créé"
adoucir,6,"souffrir, causer, arracher, exprimer, retenir, guérir"
adrien,6,"leon, constantin, nicolas, l'empereur, henri, surnommé"
adroit,15,"hardi, brave, habile, méchant, galant, brutal, débauché, délicat, plaisant, joli, fourbe, honnête, vilain, dangereux, vigoureux"
adroitement,10,"chercha, doucement, tira, tâcha, épée, rudement, brusquement, croyant, derrière, mouchoir"
afez,5,"assez, assés, trop, extremement, trés"
affaire,13,"aventure, l'affaire, harangue, conjoncture, remontrance, assemblée, occasion, ambassade, avanture, proposition, bagatelle, opération, commission"
affaires,4,"fonctions, conseils, dettes, charges"
affection,7,"amitié, inclination, affliction, humilité, ardeur, union, zele"
affecté,5,"conservé, porté, tourné, employé, gardé"
affermir,5,"établir, conserver, entretenir, augmenter, defendre"
affis,14,"assis, descendu, l'autel, monté, derriere, descendit, monta, couchée, trône, environné, vêtu, l'épaule, couché, voute"
affliction,13,"douleur, tristesse, desespoir, joie, frayeur, déplaisir, ardeur, chagrin, impatience, epouse, abfence, amitié, surprise"
affligé,19,"touché, étonné, affligée, fâché, surpris, touchée, ravi, impatient, incommodé, indigné, maltraité, ravie, content, charmé, étonnée, saisi, aife, accablé, piqué"
affligée,5,"touchée, ravie, affligé, touché, étonnée"
affoiblir,3,"arrêter, augmenter, prevenir"
affranchi,8,"quintus, conful, lucius, servius, lentulus, marcus, s'appelloit, préteur"
affranchis,7,"tailles, prédécesseurs, fermiers, cadets, tuteurs, confuls, esclaves"
affreuse,12,"cruelle, effroyable, mortelle, tristesse, funeste, violente, inhumaine, terrible, horrible, affreux, furieuse, épouvantable"
affreux,11,"cruel, cruels, horrible, funeste, fatal, perfide, mortel, horribles, tremble, malheureux, effroyable"
affront,13,"hymen, amant, éclaircissement, emportement, incident, artifice, astre, honneur, oracle, expédient, orage, éclat, éloge"
