rank,word,drift_1789,drift_moyen
317,lan,0.7482,0.6752
318,tement,0.7481,0.6900
319,pole,0.7480,0.6558
320,permettons,0.7479,0.6052
321,dommages,0.7479,0.6768
322,militaires,0.7479,0.6888
323,pier,0.7476,0.6358
324,gage,0.7474,0.8080
325,baume,0.7474,0.6409
326,celer,0.7470,0.7145
327,chanoines,0.7470,0.7060
328,tom,0.7468,0.6937
329,gou,0.7468,0.6988
330,paroisse,0.7466,0.7595
331,time,0.7465,0.5508
332,cond,0.7460,0.5771
333,favori,0.7454,0.6707
334,baleine,0.7444,0.6918
335,foli,0.7444,0.6333
336,recompense,0.7439,0.6822
337,prescription,0.7437,0.7165
338,deur,0.7435,0.6716
339,moyennant,0.7435,0.6700
340,gouver,0.7434,0.6572
341,mence,0.7434,0.7411
342,entiers,0.7433,0.7433
343,délivrance,0.7433,0.6732
344,chan,0.7432,0.7591
345,dere,0.7430,0.5932
346,div,0.7430,0.6018
347,sem,0.7426,0.7146
348,refait,0.7425,0.6689
349,inconnue,0.7422,0.7153
350,salomon,0.7422,0.6294
351,premierement,0.7421,0.6380
352,marches,0.7419,0.6447
353,xxi,0.7418,0.6582
354,fur,0.7415,0.6914
355,ty,0.7413,0.5823
356,sacrifices,0.7410,0.4800
357,d'obliger,0.7410,0.6868
358,dignement,0.7410,0.7795
359,jointe,0.7408,0.6830
360,lequelles,0.7407,0.6747
361,d'abord,0.7404,0.7224
362,gueux,0.7404,0.7227
363,tragedie,0.7401,0.5615
364,déli,0.7391,0.7265
365,sulpice,0.7391,0.6676
366,ardemment,0.7389,0.7898
367,ves,0.7387,0.6550
368,xv,0.7387,0.6767
369,chaque,0.7386,0.6195
370,suffisamment,0.7384,0.7418
371,spe,0.7384,0.6367
372,cabinets,0.7380,0.5576
373,ensemble,0.7380,0.6930
374,volon,0.7379,0.6867
375,rate,0.7378,0.6786
376,euf,0.7377,0.7304
377,titube,0.7375,0.6715
378,man,0.7374,0.6440
379,lifez,0.7374,0.6544
380,louis,0.7373,0.6697
381,tons,0.7372,0.5834
382,merveille,0.7371,0.6969
383,lig,0.7369,0.8104
384,d'agrément,0.7367,0.5203
385,considerer,0.7361,0.5081
386,reposée,0.7356,0.6261
387,composition,0.7355,0.6673
388,gement,0.7352,0.7319
389,sue,0.7351,0.6924
390,appui,0.7350,0.6533
391,fen,0.7346,0.6509
392,élement,0.7344,0.7053
393,cheres,0.7343,0.6045
394,momus,0.7342,0.6029
395,faculté,0.7338,0.7275
396,surplus,0.7338,0.6920
397,hector,0.7334,0.5973
398,faute,0.7333,0.7634
399,triment,0.7332,0.6484
400,sin,0.7331,0.6282
401,d'effet,0.7329,0.7220
402,pa,0.7328,0.7272
403,alte,0.7325,0.6200
404,gene,0.7323,0.6668
405,ima,0.7323,0.6900
406,marche,0.7320,0.5853
407,ib,0.7318,0.6853
408,laire,0.7314,0.7117
409,tage,0.7314,0.6841
410,saisie,0.7313,0.5592
411,xvi,0.7313,0.6722
412,cout,0.7312,0.7637
413,eflt,0.7311,0.7045
414,quint,0.7311,0.7806
415,audi,0.7310,0.7361
416,inévitable,0.7310,0.6887
417,remarquez,0.7305,0.7055
418,vre,0.7302,0.7371
419,sommation,0.7300,0.6096
420,l'ou,0.7299,0.7372
421,veulement,0.7299,0.7194
422,feuille,0.7298,0.5756
423,oeuvre,0.7297,0.6867
424,reux,0.7294,0.7528
425,raux,0.7292,0.6908
426,op,0.7290,0.7022
427,fondit,0.7289,0.6066
428,péri,0.7288,0.5747
429,privation,0.7287,0.6204
430,olivier,0.7286,0.5745
431,l'u,0.7283,0.6378
432,nel,0.7282,0.6318
433,salaire,0.7281,0.6881
434,miserable,0.7279,0.6495
435,incertain,0.7279,0.6997
436,outrée,0.7279,0.6457
437,simple,0.7278,0.7371
438,bertrand,0.7277,0.5495
439,tail,0.7276,0.6534
440,succés,0.7276,0.7743
441,pan,0.7275,0.6553
442,chent,0.7274,0.6667
443,communes,0.7272,0.5864
444,pra,0.7272,0.6145
445,prochaine,0.7271,0.6354
446,corporelle,0.7271,0.6283
447,ambroise,0.7268,0.5580
448,l'e,0.7265,0.6330
449,rançon,0.7259,0.6474
450,desordre,0.7257,0.6446
451,der,0.7257,0.7184
452,détourné,0.7257,0.6460
453,gâté,0.7256,0.6440
454,vitaux,0.7255,0.6513
455,phe,0.7254,0.7080
456,desa,0.7253,0.6934
