word,modele,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,disponible
vieux,dalembert,1720-1730,1789-1802,0.0198,0.9802,1598,5011,5714,True
rens,camembert,1700-1710,1740-1750,0.0098,0.9902,120,380,5675,True
rens,dalembert,1700-1710,1740-1750,0.037161,0.962839,120,380,5675,True
franche,camembert,1740-1750,1789-1802,0.012068,0.987932,277,1331,5682,True
franche,dalembert,1740-1750,1789-1802,0.018613,0.981387,277,1331,5682,True
cir,camembert,1700-1710,1750-1760,0.016455,0.983545,330,847,5687,True
cir,dalembert,1700-1710,1750-1760,0.056704,0.943296,330,847,5687,True
ménage,camembert,1710-1720,1720-1730,0.010824,0.989176,394,215,5689,True
ménage,dalembert,1710-1720,1720-1730,0.017063,0.982937,394,215,5689,True
sup,camembert,1700-1710,1789-1802,0.03487,0.96513,303,1409,5699,True
sup,dalembert,1700-1710,1789-1802,0.076203,0.923797,303,1409,5699,True
falut,camembert,1700-1710,1789-1802,0.032585,0.967415,293,1170,5603,True
falut,dalembert,1700-1710,1789-1802,0.039544,0.960456,293,1170,5603,True
tion,camembert,1720-1730,1740-1750,0.013027,0.986973,3067,6468,5715,True
tion,dalembert,1720-1730,1740-1750,0.022496,0.977504,3067,6468,5715,True
hui,camembert,1700-1710,1789-1802,0.033462,0.966538,189,1828,5716,True
hui,dalembert,1700-1710,1789-1802,0.042723,0.957277,189,1828,5716,True
sacrée,camembert,1720-1730,1740-1750,0.007342,0.992658,218,280,5696,True
sacrée,dalembert,1720-1730,1740-1750,0.017091,0.982909,218,280,5696,True
passage,camembert,1740-1750,1770-1780,0.017633,0.982367,1925,5267,5714,True
passage,dalembert,1740-1750,1770-1780,0.02009,0.97991,1925,5267,5714,True
publique,camembert,1730-1740,1740-1750,0.012907,0.987093,2241,1996,5710,True
publique,dalembert,1730-1740,1740-1750,0.016858,0.983142,2241,1996,5710,True
nant,camembert,1700-1710,1770-1780,0.017986,0.982014,329,1070,5685,True
nant,dalembert,1700-1710,1770-1780,0.030816,0.969184,329,1070,5685,True
privé,camembert,1720-1730,1760-1770,0.015685,0.984315,513,1487,5705,True
privé,dalembert,1720-1730,1760-1770,0.021526,0.978474,513,1487,5705,True
déja,camembert,1700-1710,1740-1750,0.017373,0.982627,2965,7524,5700,True
déja,dalembert,1700-1710,1740-1750,0.023275,0.976725,2965,7524,5700,True
sou,camembert,1710-1720,1740-1750,0.007845,0.992155,269,438,5696,True
sou,dalembert,1710-1720,1740-1750,0.019559,0.980441,269,438,5696,True
reux,camembert,1730-1740,1780-1789,0.013443,0.986557,397,1680,5677,True
reux,dalembert,1730-1740,1780-1789,0.030784,0.969216,397,1680,5677,True
réussit,camembert,1740-1750,1780-1789,0.013382,0.986618,199,741,5698,True
réussit,dalembert,1740-1750,1780-1789,0.017918,0.982082,199,741,5698,True
transport,camembert,1700-1710,1789-1802,0.013938,0.986062,616,3635,5708,True
transport,dalembert,1700-1710,1789-1802,0.028173,0.971827,616,3635,5708,True
semblable,camembert,1730-1740,1740-1750,0.010252,0.989748,1881,2175,5713,True
semblable,dalembert,1730-1740,1740-1750,0.017218,0.982782,1881,2175,5713,True
republique,camembert,1710-1720,1789-1802,0.029978,0.970022,451,578,5668,True
republique,dalembert,1710-1720,1789-1802,0.054837,0.945163,451,578,5668,True
principalement,camembert,1710-1720,1740-1750,0.010928,0.989072,1167,1378,5709,True
principalement,dalembert,1710-1720,1740-1750,0.023174,0.976826,1167,1378,5709,True
ordinaire,camembert,1710-1720,1730-1740,0.009659,0.990341,2768,3983,5717,True
ordinaire,dalembert,1710-1720,1730-1740,0.014408,0.985592,2768,3983,5717,True
scandale,camembert,1700-1710,1750-1760,0.009316,0.990684,171,334,5663,True
scandale,dalembert,1700-1710,1750-1760,0.01443,0.98557,171,334,5663,True
présence,camembert,1720-1730,1750-1760,0.0147,0.9853,1276,2137,5714,True
présence,dalembert,1720-1730,1750-1760,0.021209,0.978791,1276,2137,5714,True
deuil,camembert,1770-1780,1789-1802,0.008101,0.991899,930,1011,5687,True
deuil,dalembert,1770-1780,1789-1802,0.015262,0.984738,930,1011,5687,True
tres,camembert,1740-1750,1770-1780,0.011597,0.988403,3781,5367,5704,True
tres,dalembert,1740-1750,1770-1780,0.020249,0.979751,3781,5367,5704,True
voy,camembert,1700-1710,1740-1750,0.105756,0.894244,428,3524,5689,True
voy,dalembert,1700-1710,1740-1750,0.280572,0.719428,428,3524,5689,True
mad,camembert,1730-1740,1740-1750,0.015346,0.984654,153,601,5660,True
mad,dalembert,1730-1740,1740-1750,0.053211,0.946789,153,601,5660,True
liens,camembert,1730-1740,1789-1802,0.016273,0.983727,866,2533,5707,True
liens,dalembert,1730-1740,1789-1802,0.017787,0.982213,866,2533,5707,True
représentation,camembert,1780-1789,1789-1802,0.026908,0.973092,2180,2253,5700,True
représentation,dalembert,1780-1789,1789-1802,0.028789,0.971211,2180,2253,5700,True
prochaine,camembert,1740-1750,1770-1780,0.009016,0.990984,496,1302,5697,True
prochaine,dalembert,1740-1750,1770-1780,0.015579,0.984421,496,1302,5697,True
conf,camembert,1700-1710,1789-1802,0.011354,0.988646,154,1371,5671,True
conf,dalembert,1700-1710,1789-1802,0.041975,0.958025,154,1371,5671,True
commun,camembert,1730-1740,1740-1750,0.012144,0.987856,4080,3815,5717,True
commun,dalembert,1730-1740,1740-1750,0.023119,0.976881,4080,3815,5717,True
prêts,camembert,1750-1760,1789-1802,0.040735,0.959265,1156,1743,5698,True
prêts,dalembert,1750-1760,1789-1802,0.031929,0.968071,1156,1743,5698,True
rigoureux,camembert,1770-1780,1789-1802,0.008587,0.991413,959,945,5686,True
rigoureux,dalembert,1770-1780,1789-1802,0.012359,0.987641,959,945,5686,True
universel,camembert,1750-1760,1760-1770,0.006285,0.993715,711,1020,5692,True
universel,dalembert,1750-1760,1760-1770,0.012,0.988,711,1020,5692,True
mémoire,camembert,1710-1720,1730-1740,0.015515,0.984485,1056,2321,5714,True
mémoire,dalembert,1710-1720,1730-1740,0.020735,0.979265,1056,2321,5714,True
confusion,camembert,1770-1780,1780-1789,0.009409,0.990591,1631,1812,5705,True
confusion,dalembert,1770-1780,1780-1789,0.009268,0.990732,1631,1812,5705,True
