word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
auraient,1720-1730,1730-1740,0.303844,0.696156,129,175,5674,0.038773,0.961227,0.023324,0.976676
faudra,1710-1720,1730-1740,0.303371,0.696629,687,775,5706,0.021386,0.978614,0.023933,0.976067
doive,1710-1720,1760-1770,0.301449,0.698551,304,1095,5705,0.024569,0.975431,0.02482,0.97518
seroient,1710-1720,1720-1730,0.300418,0.699582,453,416,5687,0.038355,0.961645,0.026382,0.973618
voudroient,1710-1720,1740-1750,0.29926,0.70074,316,460,5692,0.051907,0.948093,0.019869,0.980131
pourront,1700-1710,1720-1730,0.296847,0.703153,1304,1712,5707,0.01377,0.98623,0.02861,0.97139
pourra,1700-1710,1710-1720,0.281388,0.718612,1928,2695,5715,0.010864,0.989136,0.022496,0.977504
devait,1720-1730,1740-1750,0.280913,0.719087,327,275,5670,0.021792,0.978208,0.020375,0.979625
serois,1710-1720,1740-1750,0.280278,0.719722,177,368,5679,0.043677,0.956323,0.03866,0.96134
pleurs,1720-1730,1740-1750,0.278554,0.721446,472,994,5700,0.013926,0.986074,0.021368,0.978632
puissent,1710-1720,1730-1740,0.277822,0.722178,1522,1495,5711,0.022513,0.977487,0.03077,0.96923
pourriez,1710-1720,1720-1730,0.270809,0.729191,146,123,5680,0.022513,0.977487,0.025039,0.974961
pourrait,1720-1730,1740-1750,0.265306,0.734694,334,387,5690,0.03916,0.96084,0.024069,0.975931
aurait,1700-1710,1780-1789,0.264629,0.735371,432,2711,5690,0.029265,0.970735,0.039239,0.960761
ayent,1710-1720,1730-1740,0.25309,0.74691,1687,1457,5696,0.036667,0.963333,0.029992,0.970008
fussent,1710-1720,1740-1750,0.252281,0.747719,1223,1638,5710,0.028714,0.971286,0.031914,0.968086
devroient,1710-1720,1730-1740,0.248749,0.751251,220,341,5692,0.040084,0.959916,0.021067,0.978933
fallait,1720-1730,1730-1740,0.246945,0.753055,338,412,5648,0.033166,0.966834,0.027775,0.972225
pussent,1700-1710,1710-1720,0.240244,0.759756,154,302,5686,0.033519,0.966481,0.033077,0.966923
pourroient,1700-1710,1710-1720,0.238969,0.761031,917,1647,5706,0.031807,0.968193,0.023876,0.976124
devroit,1700-1710,1710-1720,0.229866,0.770134,471,592,5701,0.023211,0.976789,0.021914,0.978086
devoient,1700-1710,1710-1720,0.178736,0.821264,545,952,5693,0.024199,0.975801,0.025373,0.974627
