word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
fie,1710-1720,1740-1750,0.892432,0.107568,926,1546,5705,0.01329,0.98671,0.015801,0.984199
convention,1760-1770,1789-1802,0.891382,0.108618,1081,10757,5703,0.035716,0.964284,0.069899,0.930101
lat,1720-1730,1760-1770,0.89136,0.10864,847,10946,5673,0.020117,0.979883,0.080556,0.919444
fol,1730-1740,1760-1770,0.89047,0.10953,6496,6265,5705,0.089247,0.910753,0.1697,0.8303
levée,1710-1720,1730-1740,0.890155,0.109845,580,1289,5691,0.038288,0.961712,0.047069,0.952931
hauts,1730-1740,1750-1760,0.889443,0.110557,552,522,5690,0.01437,0.98563,0.023194,0.976806
etc,1710-1720,1720-1730,0.889349,0.110651,743,844,5704,0.009023,0.990977,0.029604,0.970396
moyen,1720-1730,1740-1750,0.888859,0.111141,3664,7116,5718,0.021526,0.978474,0.026227,0.973773
détail,1730-1740,1770-1780,0.888688,0.111312,1968,4516,5715,0.012533,0.987467,0.018467,0.981533
mercure,1730-1740,1760-1770,0.887845,0.112155,1159,1653,5701,0.012503,0.987497,0.023603,0.976397
séparation,1710-1720,1780-1789,0.8874,0.1126,154,608,5676,0.016232,0.983768,0.019673,0.980327
basse,1750-1760,1760-1770,0.887086,0.112914,1816,2093,5707,0.025718,0.974282,0.033135,0.966865
meilleur,1700-1710,1789-1802,0.886516,0.113484,1259,4514,5713,0.022327,0.977673,0.022991,0.977009
vagues,1770-1780,1789-1802,0.886317,0.113683,1139,1113,5695,0.011528,0.988472,0.013476,0.986524
désormais,1780-1789,1789-1802,0.886254,0.113746,672,1432,5675,0.008561,0.991439,0.015685,0.984315
lors,1710-1720,1740-1750,0.886115,0.113885,5874,4585,5715,0.012561,0.987439,0.041808,0.958192
vert,1730-1740,1740-1750,0.885574,0.114426,457,330,5681,0.005893,0.994107,0.019466,0.980534
fantaisie,1710-1720,1750-1760,0.884802,0.115198,290,392,5678,0.013471,0.986529,0.019682,0.980318
rie,1700-1710,1730-1740,0.884617,0.115383,759,1617,5706,0.020914,0.979086,0.055527,0.944473
vide,1700-1710,1789-1802,0.88414,0.11586,514,888,5684,0.039651,0.960349,0.098311,0.901689
voile,1720-1730,1780-1789,0.882683,0.117317,709,3783,5715,0.020186,0.979814,0.028696,0.971304
recherche,1710-1720,1740-1750,0.881814,0.118186,467,760,5702,0.00873,0.99127,0.015058,0.984942
sieurs,1780-1789,1789-1802,0.881542,0.118458,1935,1774,5682,0.028465,0.971535,0.02331,0.97669
vieux,1720-1730,1789-1802,0.881198,0.118802,1598,5011,5714,0.011002,0.988998,0.0198,0.9802
rens,1700-1710,1740-1750,0.880493,0.119507,120,380,5675,0.0098,0.9902,0.037161,0.962839
franche,1740-1750,1789-1802,0.879998,0.120002,277,1331,5682,0.012068,0.987932,0.018613,0.981387
cir,1700-1710,1750-1760,0.879643,0.120357,330,847,5687,0.016455,0.983545,0.056704,0.943296
ménage,1710-1720,1720-1730,0.877101,0.122899,394,215,5689,0.010824,0.989176,0.017063,0.982937
sup,1700-1710,1789-1802,0.876666,0.123334,303,1409,5699,0.03487,0.96513,0.076203,0.923797
falut,1700-1710,1789-1802,0.876444,0.123556,293,1170,5603,0.032585,0.967415,0.039544,0.960456
tion,1720-1730,1740-1750,0.875759,0.124241,3067,6468,5715,0.013027,0.986973,0.022496,0.977504
hui,1700-1710,1789-1802,0.875469,0.124531,189,1828,5716,0.033462,0.966538,0.042723,0.957277
sacrée,1720-1730,1740-1750,0.873885,0.126115,218,280,5696,0.007342,0.992658,0.017091,0.982909
