word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree
beurre,1700-1710,1710-1720,0.435224,0.564776,470,947,5631
savait,1710-1720,1740-1750,0.43506,0.56494,547,106,5475
donneront,1700-1710,1710-1720,0.434078,0.565922,199,258,5684
cherché,1700-1710,1740-1750,0.434033,0.565967,161,433,5706
printemps,1720-1730,1730-1740,0.430387,0.569613,181,238,5682
avois,1720-1730,1730-1740,0.430038,0.569962,584,876,5708
oublié,1710-1720,1789-1802,0.42973,0.57027,523,2078,5710
prendra,1700-1710,1710-1720,0.428541,0.571459,357,352,5695
mettra,1710-1720,1730-1740,0.428041,0.571959,276,268,5696
concevoir,1740-1750,1770-1780,0.427775,0.572225,1037,1977,5707
forcé,1710-1720,1789-1802,0.426298,0.573702,408,4904,5712
rems,1700-1710,1710-1720,0.425741,0.574259,228,220,5679
proposa,1710-1720,1789-1802,0.425046,0.574954,266,1431,5695
oncle,1720-1730,1789-1802,0.4249,0.5751,708,2525,5697
jugea,1740-1750,1789-1802,0.424033,0.575967,783,632,5688
leva,1730-1740,1780-1789,0.421971,0.578029,551,1312,5682
courut,1710-1720,1780-1789,0.420083,0.579917,202,995,5677
fallu,1700-1710,1740-1750,0.419572,0.580428,179,608,5712
avril,1700-1710,1740-1750,0.417562,0.582438,709,1774,5702
viens,1700-1710,1710-1720,0.417547,0.582453,1991,1942,5711
revenir,1700-1710,1720-1730,0.416858,0.583142,1116,1210,5710
donnèrent,1710-1720,1730-1740,0.415427,0.584573,150,350,5678
aurais,1700-1710,1750-1760,0.415091,0.584909,51,56,5650
pensé,1730-1740,1789-1802,0.414643,0.585357,827,2200,5711
soixante,1710-1720,1780-1789,0.41459,0.58541,1786,5207,5701
rendra,1710-1720,1720-1730,0.414142,0.585858,277,297,5699
croyoient,1720-1730,1780-1789,0.413885,0.586115,268,1097,5683
empêché,1700-1710,1740-1750,0.413653,0.586347,193,420,5698
virent,1730-1740,1740-1750,0.413614,0.586386,694,1293,5686
supposer,1740-1750,1760-1770,0.413602,0.586398,679,1516,5703
vouloient,1700-1710,1710-1720,0.413161,0.586839,1020,551,5695
sept,1730-1740,1789-1802,0.411559,0.588441,3500,10694,5715
aurons,1740-1750,1770-1780,0.411319,0.588681,560,999,5697
voudrais,1710-1720,1730-1740,0.410863,0.589137,216,307,5648
cinquante,1700-1710,1710-1720,0.410551,0.589449,1345,1806,5705
eusse,1700-1710,1710-1720,0.410454,0.589546,54,63,5678
neuf,1720-1730,1750-1760,0.409989,0.590011,2478,3485,5717
tableaux,1730-1740,1780-1789,0.407419,0.592581,472,3068,5710
neveu,1700-1710,1720-1730,0.407153,0.592847,660,541,5692
voulus,1700-1710,1730-1740,0.406496,0.593504,134,256,5642
pouvant,1700-1710,1720-1730,0.406324,0.593676,776,832,5712
gendre,1700-1710,1730-1740,0.406083,0.593917,406,599,5688
ront,1700-1710,1780-1789,0.406001,0.593999,446,1635,5689
aurai,1700-1710,1789-1802,0.405571,0.594429,132,426,5699
refusé,1710-1720,1789-1802,0.404473,0.595527,207,1206,5693
erre,1700-1710,1710-1720,0.404153,0.595847,380,280,5687
suffire,1700-1710,1789-1802,0.403865,0.596135,120,1174,5692
nomment,1740-1750,1789-1802,0.403495,0.596505,1662,735,5686
pensez,1710-1720,1760-1770,0.403048,0.596952,301,966,5690
quatorze,1730-1740,1760-1770,0.402673,0.597327,927,1398,5704
cherchent,1730-1740,1770-1780,0.40164,0.59836,408,1325,5699
impossible,1720-1730,1730-1740,0.4008,0.5992,1126,1536,5716
douze,1700-1710,1710-1720,0.400758,0.599242,1838,2877,5713
