rank,word,drift_global,drift_moyen
306,auifi,0.8166,0.7632
307,dè,0.8165,0.7587
308,sal,0.8164,0.6543
309,rais,0.8164,0.6229
310,avenir,0.8162,0.4787
311,poursuivant,0.8160,0.6820
312,pouf,0.8160,0.7260
313,jet,0.8156,0.6633
314,quelqu'une,0.8154,0.7737
315,viaire,0.8153,0.6318
316,fori,0.8151,0.6607
317,dio,0.8151,0.5614
318,pau,0.8147,0.7721
319,cene,0.8146,0.5569
320,inf,0.8145,0.6498
321,mef,0.8145,0.6895
322,ors,0.8143,0.6093
323,meu,0.8143,0.6740
324,confit,0.8140,0.5781
325,lig,0.8136,0.8104
326,l'ordinaire,0.8135,0.8095
327,présents,0.8135,0.6663
328,observez,0.8132,0.5522
329,fol,0.8129,0.5884
330,nant,0.8129,0.7686
331,rant,0.8128,0.6428
332,seur,0.8126,0.6409
333,l'oracle,0.8120,0.7536
334,mesme,0.8117,0.6986
335,gage,0.8112,0.8080
336,sou,0.8110,0.7418
337,che,0.8108,0.6940
338,allure,0.8108,0.5939
339,foli,0.8103,0.6333
340,ardemment,0.8100,0.7898
341,suiffe,0.8095,0.5603
342,ajoutez,0.8093,0.7314
343,apprens,0.8092,0.6606
344,nui,0.8091,0.6351
345,cre,0.8090,0.6026
346,tale,0.8088,0.5777
347,veille,0.8086,0.7280
348,commue,0.8085,0.6142
349,deçà,0.8084,0.6940
350,c'en,0.8084,0.7238
351,prin,0.8082,0.5876
352,sole,0.8082,0.5528
353,varron,0.8081,0.5841
354,lice,0.8079,0.6427
355,mode,0.8073,0.5637
356,décou,0.8071,0.7187
357,accordant,0.8071,0.4352
358,feur,0.8070,0.6009
359,pon,0.8069,0.6867
360,sement,0.8068,0.6121
361,ron,0.8068,0.6410
362,françoises,0.8067,0.5370
363,touc,0.8067,0.7359
364,cy,0.8061,0.6120
365,trefle,0.8061,0.5941
366,dere,0.8060,0.5932
367,fies,0.8060,0.6952
368,leut,0.8060,0.7728
369,bler,0.8059,0.6679
370,dence,0.8057,0.6267
371,l'egard,0.8054,0.6896
372,hor,0.8052,0.6234
373,xvi,0.8051,0.6722
374,olivier,0.8049,0.5745
375,chanoines,0.8047,0.7060
376,ban,0.8046,0.6667
377,auii,0.8043,0.6915
378,potion,0.8042,0.5999
379,ordi,0.8039,0.7318
380,éloignez,0.8039,0.3680
381,nô,0.8038,0.6240
382,teflon,0.8036,0.6435
383,l'experience,0.8026,0.7885
384,chanté,0.8023,0.6564
385,enfuit,0.8020,0.6699
386,préter,0.8020,0.6220
387,gilles,0.8018,0.5395
388,recueilli,0.8018,0.6235
389,voya,0.8017,0.6230
390,remar,0.8017,0.6289
391,fié,0.8015,0.7369
392,lions,0.8015,0.6275
393,mente,0.8015,0.5632
394,taine,0.8014,0.6925
395,mem,0.8014,0.6497
396,l'impuissance,0.8013,0.7581
397,préfet,0.8013,0.6364
398,l'exposer,0.8010,0.5661
399,mouvant,0.8008,0.5798
400,pli,0.8008,0.6301
401,rans,0.8006,0.6835
402,ordinal,0.8005,0.6387
403,ofi,0.8005,0.5913
